symbol,idx,signal_idx,direction,entry,sl,tp,risk,rr,signal_time,entry_time,score,hli,delta,delta_z,cvd,absorption,vp_poc,vp_vah,vp_val,vp_hvn,vp_lvn,vp_context,vp_ok,ichimoku_bull,ichimoku_bear,fib_ote,fib_zone,macd_line,macd_signal,macd_hist,macd_ok,session,exit_time,exit_price,result,r_multiple,mfe_r,mae_r,initial_adverse
SOLUSDT,950,949,SELL,132.68,133.53089287963823,130.97821424072356,0.8508928796382236,2.0,2025-12-14 08:45:00+00:00,2025-12-14 09:00:00+00:00,74.0,51.67576933072169,-0.4917392947580318,-1.441039159794499,-2.471415916838306,False,132.39825000000002,133.0935,132.115,132.39825000000002,132.34675,VALUE,True,False,False,False,NONE,0.03786397979811795,0.017502625943705975,0.020361353854411977,False,ASIA_EUROPE_OVERLAP,2025-12-14 11:30:00+00:00,130.97821424072356,WIN,2.0,2.656033507955678,0.14102832785605782,False
ETHUSDT,1828,1827,SELL,2958.95,2976.1093908275448,2924.63121834491,17.15939082754494,2.0,2025-12-23 12:15:00+00:00,2025-12-23 12:30:00+00:00,81.0,84.16873558926619,-0.18576752814283948,-0.6386933064635605,-0.8969252327419235,False,2957.3025,2994.84,2953.89,2957.3025,2952.7524999999996,VALUE,True,False,False,False,NONE,-2.942422654777147,-4.073644075887688,1.1312214211105411,False,LONDON,2025-12-23 14:45:00+00:00,2924.63121834491,WIN,2.0,3.381238913613644,0.3327623956693216,True
NEARUSDT,5079,5078,SELL,1.457,1.4796996040257036,1.4116007919485931,0.02269960402570348,2.0,2026-01-26 09:00:00+00:00,2026-01-26 09:15:00+00:00,102.0,67.86649595267839,-0.49677311995051465,-2.0272321729351646,-0.9090014895706339,False,1.420375,1.4615,1.4195,1.420375,1.418625,NEAR_VAH,True,False,True,False,NONE,0.0034332298638493075,0.0045457529822735005,-0.001112523118424193,True,LONDON,2026-01-26 15:00:00+00:00,1.4796996040257036,LOSS,-1.0,0.44053631898938383,1.2335016931702747,False
BNBUSDT,6996,6995,SELL,634.04,639.9724272803464,622.175145439307,5.932427280346474,2.0,2026-02-15 08:15:00+00:00,2026-02-15 08:30:00+00:00,88.0,66.60252518455675,-0.36188517759383887,-2.2082439458882654,0.9196527741960624,False,631.453375,637.0685,629.71075,631.453375,631.840625,VALUE,True,False,False,False,NONE,1.2805354357536771,1.4477877281101041,-0.16725229235642702,True,ASIA_EUROPE_OVERLAP,2026-02-15 12:45:00+00:00,622.175145439307,WIN,2.0,2.479592130649903,0.025284759999844524,False
BNBUSDT,7487,7486,SELL,610.36,614.748490613276,601.5830187734481,4.3884906132759625,2.0,2026-02-20 11:00:00+00:00,2026-02-20 11:15:00+00:00,113.0,68.19682604706439,0.2306865359601349,1.5905465749590078,-1.7530915285827966,False,607.7552499999999,612.796,606.075,607.7552499999999,608.06075,VALUE,True,False,True,True,OTE,0.7759609368723659,1.0893871886091415,-0.31342625173677563,True,LONDON,2026-02-20 13:30:00+00:00,601.5830187734481,WIN,2.0,2.0804419570546937,0.14127864330492004,False
SOLUSDT,10935,10934,SELL,83.14,83.7521218668618,81.9157562662764,0.6121218668617985,2.0,2026-03-28 09:00:00+00:00,2026-03-28 09:15:00+00:00,86.0,54.161680456312546,-0.5286657263751763,-2.374029910569706,0.47603761581090154,False,82.631375,83.35600000000001,82.46775,82.631375,82.584625,VALUE,True,False,True,False,NONE,0.19155944003369996,0.1798765844329288,0.011682855600771147,False,LONDON,2026-03-28 13:30:00+00:00,83.7521218668618,LOSS,-1.0,0.8821772742222987,1.6009883865515673,False
NEARUSDT,11815,11814,SELL,1.289,1.3025823364649383,1.2618353270701232,0.013582336464938338,2.0,2026-04-06 13:00:00+00:00,2026-04-06 13:15:00+00:00,96.0,31.7421330784595,-0.2115018930777357,-1.3233055943033702,0.525932428044635,False,1.2459500000000001,1.283,1.245,1.2459500000000001,1.24405,NEAR_VAH,True,True,False,True,OTE,0.006091602589233691,0.006759587398687213,-0.0006679848094535215,True,OVERLAP,2026-04-06 21:15:00+00:00,1.2618353270701232,WIN,2.0,2.0615009849210906,0.2945001407030129,False
BNBUSDT,17791,17790,SELL,590.4,597.8825647598504,575.4348704802991,7.4825647598504474,2.0,2026-06-07 19:00:00+00:00,2026-06-07 19:15:00+00:00,102.0,100.0,-0.33086984523674523,-2.214499868481095,0.08332209069299246,False,588.2375,596.9,586.925,588.2375,587.7125000000001,VALUE,True,False,True,True,OTE,1.148747636977987,1.4024516013491655,-0.2537039643711785,True,NEW_YORK,2026-06-07 22:00:00+00:00,597.8825647598504,LOSS,-1.0,0.4944828569814988,2.352134671047176,False
NEARUSDT,18318,18317,BUY,2.028,1.988581634099517,2.106836731800966,0.03941836590048298,2.0,2026-06-13 06:45:00+00:00,2026-06-13 07:00:00+00:00,110.0,97.59793590079337,0.23819949677996544,0.5902207454465928,1.6935835448002745,False,2.036925,2.071,2.0052000000000003,2.036925,2.0345750000000002,VALUE,True,True,True,True,OTE,-0.0014570861429912263,-0.003371836145892883,0.0019147500029016566,True,ASIA,2026-06-13 15:15:00+00:00,2.106836731800966,WIN,2.0,2.815946259168489,0.5834843600078897,True
DOGEUSDT,19212,19211,SELL,0.08404,0.08512193464677412,0.08187613070645178,0.001081934646774113,2.0,2026-06-22 14:15:00+00:00,2026-06-22 14:30:00+00:00,120.0,74.44001285389574,-0.3623517734717626,-1.3108225601961925,-0.5733477442541134,False,0.083651875,0.0845,0.08295125,0.083651875,0.083725625,VALUE,True,False,True,True,OTE,0.0002576858474903493,0.00027097014665708783,-1.3284299166738546e-05,True,OVERLAP,2026-06-23 01:45:00+00:00,0.08187613070645178,WIN,2.0,2.6249274930493525,0.10166972684345957,False
