open_time,open,high,low,close,volume,taker_buy_volume
1747008000000,0.8054,0.8643,0.7802,0.817,250186987.8,123204230.9
1747094400000,0.8169,0.8419,0.7716,0.8299,170776720.3,80374761.0
1747180800000,0.83,0.8337,0.7887,0.7986,137228841.5,68701889.9
1747267200000,0.7987,0.8102,0.7445,0.7624,181474078.9,88018070.9
1747353600000,0.7624,0.7859,0.7505,0.7588,89428901.1,45547508.8
1747440000000,0.7588,0.7814,0.7267,0.7427,127369154.9,64476149.5
1747526400000,0.7428,0.7767,0.7171,0.7596,137043357.8,67917404.9
1747612800000,0.7597,0.765,0.71,0.7425,121736745.6,57822004.4
1747699200000,0.7426,0.7538,0.7224,0.746,94460431.4,46338514.8
1747785600000,0.7461,0.7839,0.7366,0.7693,152161906.6,76337432.5
1747872000000,0.7693,0.8108,0.7688,0.8093,136071438.9,65299226.5
1747958400000,0.8093,0.8414,0.743,0.7471,228323410.0,97681750.5
1748044800000,0.7472,0.7668,0.7409,0.7467,73357703.7,36472620.7
1748131200000,0.7467,0.7604,0.7277,0.7598,80670789.5,38766145.2
1748217600000,0.7598,0.7771,0.751,0.7604,79623463.0,38439541.4
1748304000000,0.7604,0.7756,0.7434,0.7583,91137197.1,45829397.9
1748390400000,0.7584,0.7614,0.7324,0.7476,75356290.5,36181715.6
1748476800000,0.7476,0.7652,0.7194,0.7221,104471174.0,50315647.6
1748563200000,0.7221,0.7281,0.6821,0.6889,174517183.6,80825965.2
1748649600000,0.689,0.6952,0.6561,0.6858,111278610.9,55722246.0
1748736000000,0.6858,0.688,0.6541,0.6855,92156943.0,48169090.9
1748822400000,0.6854,0.6921,0.6636,0.6896,72942407.9,35564428.1
1748908800000,0.6897,0.7072,0.6738,0.6837,75512318.6,37138234.2
1748995200000,0.6837,0.7027,0.662,0.6654,71491826.6,32900455.6
1749081600000,0.6654,0.6899,0.6186,0.6256,145639972.6,72709901.6
1749168000000,0.6256,0.6723,0.621,0.6554,99504658.4,50040507.2
1749254400000,0.6554,0.6708,0.6494,0.6645,52653743.0,25530388.9
1749340800000,0.6645,0.6796,0.6517,0.6703,73152581.7,36210908.0
1749427200000,0.6703,0.708,0.6565,0.7049,99192245.2,50883221.3
1749513600000,0.705,0.7206,0.6859,0.7167,146832550.3,72643885.4
1749600000000,0.7167,0.7315,0.6909,0.698,113621215.0,52962538.2
1749686400000,0.6979,0.7003,0.6569,0.6613,99094622.1,46277016.7
1749772800000,0.6613,0.6614,0.6174,0.642,180308681.7,86283744.7
1749859200000,0.6421,0.6428,0.6131,0.6247,57750191.8,28097695.9
1749945600000,0.6247,0.6359,0.6208,0.6334,44666279.5,23000871.8
1750032000000,0.6333,0.6575,0.6247,0.6303,99602152.2,46813593.3
1750118400000,0.6302,0.6426,0.5998,0.609,110370304.8,49640956.5
1750204800000,0.609,0.6217,0.588,0.6039,120946782.8,52066549.0
1750291200000,0.604,0.6117,0.5898,0.602,69309415.7,30297780.8
1750377600000,0.6021,0.6071,0.5613,0.5774,140958123.2,62249012.8
1750464000000,0.5775,0.5882,0.5443,0.5561,140946671.2,61302039.7
1750550400000,0.5562,0.5642,0.51,0.5419,254432354.9,121168274.9
1750636800000,0.5419,0.5862,0.5289,0.5823,214940626.1,103593894.7
1750723200000,0.5823,0.5936,0.5762,0.5875,148093981.2,66302166.6
1750809600000,0.5875,0.5907,0.5631,0.5671,106514611.1,47624096.9
1750896000000,0.5671,0.5819,0.5498,0.5543,101834511.0,45681435.6
1750982400000,0.5544,0.5633,0.545,0.5587,80562142.4,33100416.6
1751068800000,0.5586,0.5688,0.5554,0.5654,60272689.6,27126660.9
1751155200000,0.5654,0.5857,0.555,0.5773,103251178.3,48889911.5
1751241600000,0.5773,0.5905,0.5561,0.5722,113245597.3,54955991.1
1751328000000,0.5722,0.5765,0.5366,0.542,122582583.1,57362020.0
