open_time,open,high,low,close,volume,taker_buy_volume
1764847800000,14.74,14.75,14.71,14.74,22415.79,12727.04
1764848700000,14.74,14.76,14.73,14.75,15725.08,11126.31
1764849600000,14.75,14.76,14.73,14.74,20292.19,8451.15
1764850500000,14.74,14.76,14.7,14.73,20513.02,10323.53
1764851400000,14.72,14.76,14.71,14.75,13117.02,9268.76
1764852300000,14.75,14.75,14.72,14.74,17035.72,9396.85
1764853200000,14.74,14.76,14.7,14.71,21179.81,6438.09
1764854100000,14.71,14.76,14.71,14.73,13083.56,8357.92
1764855000000,14.74,14.75,14.71,14.71,19106.17,8058.66
1764855900000,14.72,14.73,14.7,14.72,24753.62,10640.33
1764856800000,14.72,14.76,14.72,14.74,13552.66,7716.22
1764857700000,14.75,14.77,14.74,14.75,26916.39,9551.02
1764858600000,14.75,14.76,14.72,14.74,35527.97,14302.74
1764859500000,14.73,14.74,14.64,14.67,110322.65,49086.26
1764860400000,14.67,14.76,14.66,14.75,47386.23,29343.29
1764861300000,14.75,14.76,14.7,14.73,28094.86,13278.35
1764862200000,14.74,14.86,14.72,14.78,101988.8,47545.69
1764863100000,14.78,14.8,14.72,14.75,31231.81,20227.87
1764864000000,14.75,14.76,14.7,14.74,47295.43,23831.26
1764864900000,14.73,14.77,14.72,14.73,28830.15,11692.43
1764865800000,14.73,14.74,14.7,14.72,26382.3,12689.21
1764866700000,14.73,14.74,14.7,14.72,26841.2,12545.14
1764867600000,14.72,14.74,14.7,14.72,33440.62,21388.58
1764868500000,14.73,14.73,14.7,14.71,16725.91,9087.8
1764869400000,14.71,14.71,14.51,14.55,134794.73,61860.53
1764870300000,14.54,14.59,14.5,14.57,31195.48,20188.06
1764871200000,14.57,14.58,14.51,14.54,25372.85,11184.9
1764872100000,14.54,14.57,14.5,14.54,22421.03,12572.9
1764873000000,14.54,14.55,14.47,14.48,51374.96,26515.0
1764873900000,14.48,14.5,14.47,14.49,41325.44,21727.87
1764874800000,14.48,14.49,14.3,14.32,88712.31,37281.01
