open_time,open,high,low,close,volume,taker_buy_volume
1747008000000,24.79,26.84,23.73,24.83,5218008.53,2528914.58
1747094400000,24.83,26.25,23.45,25.72,2925803.5,1451626.74
1747180800000,25.72,26.54,24.74,24.96,2672732.93,1296082.96
1747267200000,24.95,25.13,22.94,23.5,3638550.04,1803654.57
1747353600000,23.51,24.05,22.67,23.06,2227565.34,1046983.75
1747440000000,23.06,23.14,21.97,22.17,1687574.64,754645.02
1747526400000,22.18,23.86,21.56,23.06,2886141.5,1457216.47
1747612800000,23.06,23.2,21.26,22.25,2300923.36,1091978.19
1747699200000,22.25,22.82,21.75,22.6,2363016.87,1146214.74
1747785600000,22.61,23.81,22.15,23.17,3700764.84,1812264.21
1747872000000,23.18,25.43,23.13,25.26,4544921.58,2259593.8
1747958400000,25.26,25.98,22.92,23.07,4705888.32,2082476.26
1748044800000,23.08,23.48,22.75,22.96,1900215.75,896234.73
1748131200000,22.96,23.47,22.03,23.45,1560632.88,751470.23
1748217600000,23.45,24.0,22.87,23.07,1683985.16,784205.78
1748304000000,23.06,23.88,22.51,23.38,2332149.83,1145366.83
1748390400000,23.38,23.77,22.77,23.6,1846290.62,853014.93
1748476800000,23.61,24.35,22.17,22.25,3088525.48,1458031.28
1748563200000,22.25,22.35,20.4,20.56,3279913.72,1602464.77
1748649600000,20.55,21.12,19.77,20.8,1892744.39,954830.67
1748736000000,20.81,20.97,20.17,20.88,1153604.59,542189.77
1748822400000,20.88,21.32,20.22,21.15,1502072.99,731824.02
1748908800000,21.16,21.7,20.89,21.14,1566776.54,719317.13
1748995200000,21.14,21.64,20.06,20.09,1830422.72,866737.59
1749081600000,20.08,20.54,18.43,18.75,3250405.7,1550480.31
1749168000000,18.75,19.95,18.63,19.64,1859494.01,945146.14
1749254400000,19.64,21.13,19.56,20.65,1466628.82,717156.82
1749340800000,20.66,21.49,20.14,21.04,1901641.64,946163.92
1749427200000,21.04,22.04,20.22,21.95,2477870.38,1215747.0
1749513600000,21.94,22.59,21.51,22.57,3111970.84,1598265.03
1749600000000,22.57,22.77,21.32,21.57,2612028.0,1185060.42
1749686400000,21.56,21.62,20.15,20.28,2415966.59,1101446.06
1749772800000,20.28,20.3,18.46,19.41,5203353.31,2534545.99
1749859200000,19.42,19.43,18.71,18.93,1096166.12,503955.41
1749945600000,18.94,19.28,18.73,19.1,1025408.3,510213.09
1750032000000,19.11,20.0,18.9,19.06,2053892.52,1010079.95
1750118400000,19.06,19.49,18.13,18.58,2290731.0,1108321.03
1750204800000,18.59,18.9,18.07,18.16,1961262.65,1003311.92
1750291200000,18.17,18.39,17.64,18.06,2008390.39,978467.35
1750377600000,18.06,18.41,16.94,17.37,2195101.91,1006193.95
1750464000000,17.38,17.64,16.32,16.82,2333601.25,1127161.7
1750550400000,16.82,17.11,15.61,16.53,3130501.11,1525375.19
1750636800000,16.53,18.19,16.26,18.06,3812779.65,1901532.15
1750723200000,18.06,18.49,17.88,18.23,2249538.26,1176463.92
1750809600000,18.24,18.37,17.42,17.57,1737924.36,899669.36
1750896000000,17.57,18.02,17.09,17.23,1486292.73,701889.19
1750982400000,17.24,17.79,17.02,17.58,1267515.56,635379.33
1751068800000,17.58,18.08,17.48,17.97,818567.26,448087.71
1751155200000,17.98,18.9,17.8,18.73,1322755.99,680639.92
1751241600000,18.73,18.88,17.71,17.96,1826960.62,840367.18
1751328000000,17.97,18.06,16.94,17.1,1494015.26,676177.13
1751414400000,17.11,18.83,16.97,18.51,2701044.64,1333039.61
1751500800000,18.51,19.17,18.34,18.54,2023149.88,998905.9
1751587200000,18.55,18.88,17.5,17.8,1884464.87,1017180.7
1751673600000,17.8,17.99,17.62,17.92,638719.79,325603.4
1751760000000,17.92,18.62,17.74,18.29,1092614.2,573388.03
1751846400000,18.3,18.59,17.8,17.99,1162903.04,531071.63
1751932800000,18.0,18.48,17.69,18.36,1311269.48,619415.28
1752019200000,18.37,19.63,18.09,19.5,2690754.32,1344011.04
1752105600000,19.5,20.79,19.34,20.7,3077304.92,1606156.01
1752192000000,20.7,21.53,20.32,20.68,3331979.17,1708242.52
1752278400000,20.67,21.08,20.18,20.69,2113337.99,1044087.23
1752364800000,20.68,21.8,20.66,21.2,2637539.97,1359886.74
1752451200000,21.21,22.08,21.02,21.26,2537960.71,1265625.27
1752537600000,21.27,22.58,20.39,22.51,4237676.39,2364856.48
1752624000000,22.52,23.02,21.61,22.66,3024064.87,1335620.87
1752710400000,22.65,24.34,22.02,23.91,4163407.41,2055259.9
1752796800000,23.91,25.03,23.06,23.51,4182701.83,2046593.62
1752883200000,23.51,25.23,23.01,24.5,2828014.21,1461354.98
1752969600000,24.51,25.55,24.31,25.04,3050674.47,1502424.74
1753056000000,25.05,26.53,24.64,25.43,3722779.88,1756454.47
1753142400000,25.43,26.09,24.71,25.88,5403307.88,2668413.23
1753228800000,25.88,26.1,23.15,23.95,4138078.83,2036877.01
1753315200000,23.96,24.44,22.53,23.67,2954572.88,1417138.06
1753401600000,23.67,24.04,22.86,24.01,2429187.43,1136521.94
1753488000000,24.01,25.77,23.84,24.94,2322954.64,1160775.61
1753574400000,24.94,26.46,24.74,26.06,2193331.4,1151595.83
1753660800000,26.06,27.38,24.99,25.21,5003307.81,2313915.94
1753747200000,25.21,25.51,23.88,24.37,3654141.86,1704068.49
1753833600000,24.38,24.51,22.4,23.31,3448147.52,1531934.72
1753920000000,23.3,24.12,22.4,22.47,2756295.09,1191122.34
1754006400000,22.47,22.58,21.02,21.51,3948656.05,1956155.58
1754092800000,21.52,21.82,20.66,20.86,1443378.5,669261.67
1754179200000,20.87,21.54,20.57,21.37,1065667.37,565340.98
1754265600000,21.38,23.13,21.34,23.11,2828179.45,1703487.67
1754352000000,23.12,23.14,21.44,21.92,1854068.5,1029340.67
1754438400000,21.92,22.4,21.57,22.23,1609597.38,803146.24
1754524800000,22.24,23.36,21.95,23.36,2606524.79,1407090.65
1754611200000,23.35,23.87,23.0,23.79,2948550.23,1516517.94
1754697600000,23.8,24.82,23.73,24.23,3706511.37,1407621.01
1754784000000,24.24,24.55,23.26,23.83,2042077.94,931802.4
1754870400000,23.84,24.63,22.65,22.79,2917750.34,1436889.66
1754956800000,22.79,24.9,22.74,24.67,3234718.02,1682900.9
1755043200000,24.67,25.68,24.37,25.47,3255245.91,1763746.79
1755129600000,25.47,25.99,23.18,23.67,5773899.55,3089165.79
1755216000000,23.66,25.66,23.46,23.77,5593714.7,3000086.34
1755302400000,23.76,24.37,23.57,24.3,1610583.32,769106.54
1755388800000,24.3,25.68,24.02,25.06,2713774.39,1409213.04
1755475200000,25.07,25.33,23.36,23.7,3792415.91,1846730.51
1755561600000,23.7,24.06,22.31,22.37,2882360.08,1274074.33
1755648000000,22.36,23.55,22.23,23.46,2293194.21,1172765.88
1755734400000,23.45,23.62,22.72,22.77,1706315.72,884151.86
1755820800000,22.78,25.4,22.19,25.25,5485181.93,2685365.96
1755907200000,25.26,26.77,24.47,26.26,5753729.12,2595899.59
1755993600000,26.26,26.57,24.92,25.83,4047628.7,1935507.99
1756080000000,25.83,26.0,23.03,23.35,4117635.73,1993537.36
1756166400000,23.35,24.35,23.09,24.17,2647190.56,1332081.8
1756252800000,24.17,25.33,23.86,24.42,3575703.83,1898159.13
1756339200000,24.42,25.08,24.13,24.93,2606202.3,1272676.64
1756425600000,24.93,25.2,23.2,23.55,3838827.52,1963151.34
1756512000000,23.54,23.94,23.1,23.78,1173614.41,600830.1
1756598400000,23.78,24.2,23.38,23.4,1062889.49,487535.42
1756684800000,23.4,24.33,22.67,23.21,3735535.61,1891731.43
1756771200000,23.22,24.5,23.02,24.46,3640156.76,1782522.44
1756857600000,24.47,25.78,24.27,25.2,3567888.32,1938105.86
1756944000000,25.21,25.28,24.18,24.21,2160658.31,1029996.88
1757030400000,24.21,25.11,23.86,24.47,2980843.48,1486385.89
1757116800000,24.48,24.62,24.09,24.38,869250.62,414971.65
1757203200000,24.37,24.95,24.26,24.68,1253296.14,698891.57
1757289600000,24.69,25.8,24.53,25.29,2389358.41,1196297.17
1757376000000,25.29,26.36,24.9,25.93,3883910.84,1939115.87
1757462400000,25.94,29.52,25.75,29.48,7835798.78,4208080.3
1757548800000,29.47,29.99,28.3,29.15,4409659.2,2198287.47
1757635200000,29.14,29.4,28.25,28.99,3485659.59,1729752.79
1757721600000,28.98,31.25,28.74,30.08,6655109.56,3446710.1
1757808000000,30.08,30.64,28.96,29.44,4026228.24,1963306.04
1757894400000,29.44,30.45,28.22,29.81,4822176.71,2314979.96
1757980800000,29.81,31.0,29.17,30.08,4046243.14,2050942.4
1758067200000,30.07,32.0,29.38,31.82,4496864.96,2357728.26
1758153600000,31.82,35.43,31.63,35.19,8086451.91,4313088.2
1758240000000,35.19,35.81,33.34,33.75,5353801.63,2585683.87
1758326400000,33.74,34.11,32.86,33.17,2827363.71,1373666.43
1758412800000,33.17,33.61,32.58,33.04,2354952.36,1135213.92
1758499200000,33.05,33.98,29.41,33.86,7906750.93,3938371.74
1758585600000,33.87,36.16,32.75,33.61,9338116.95,4796089.89
1758672000000,33.6,34.85,32.26,32.31,4766219.2,2403500.72
1758758400000,32.31,32.8,28.51,28.64,7152756.29,3289088.41
1758844800000,28.63,29.6,27.07,29.09,6421766.72,3099805.77
1758931200000,29.1,29.11,28.23,28.74,1881547.05,861835.95
1759017600000,28.75,30.3,27.92,30.01,2997791.17,1502491.61
1759104000000,30.01,30.82,29.13,30.41,5331556.45,2984348.43
1759190400000,30.41,30.72,28.81,30.01,4008225.28,1791635.82
1759276800000,30.02,31.1,29.61,30.73,3883191.93,1916628.88
1759363200000,30.74,31.38,29.48,30.98,6997460.97,3349171.54
1759449600000,30.97,31.57,29.99,31.31,4752367.67,2326208.31
1759536000000,31.32,31.44,29.85,30.12,2572315.27,1272290.86
1759622400000,30.12,31.21,29.63,30.07,2993145.41,1499492.01
1759708800000,30.07,31.03,29.94,30.61,3085401.61,1385281.84
1759795200000,30.61,30.73,27.81,27.93,4890362.4,2358902.63
1759881600000,27.92,29.63,27.84,28.82,2651599.97,1377333.73
1759968000000,28.82,28.9,27.58,28.38,2269490.81,1114335.38
1760054400000,28.38,28.62,8.52,20.68,15387912.02,7492199.79
1760140800000,20.67,23.38,20.27,21.46,9122170.63,4597122.93
1760227200000,21.45,23.34,20.66,22.51,7083271.57,3596737.71
1760313600000,22.5,24.07,21.68,23.8,9277860.33,4767884.26
1760400000000,23.8,23.9,21.81,22.74,6841648.76,3196232.4
1760486400000,22.73,23.29,21.56,21.9,3657254.33,1679748.33
1760572800000,21.9,22.39,20.58,20.98,4348824.61,2155193.4
1760659200000,20.97,21.27,19.03,19.96,5812253.03,2811750.62
1760745600000,19.95,20.42,19.82,20.21,1676585.17,676659.7
1760832000000,20.22,20.84,19.75,20.59,2143184.1,1044846.69
1760918400000,20.59,21.21,20.17,20.34,2955524.04,1436795.55
1761004800000,20.34,20.85,19.46,19.54,3757859.23,1815404.36
1761091200000,19.54,19.71,18.42,19.02,3336086.79,1653503.22
1761177600000,19.02,19.74,18.98,19.14,2616353.3,1327562.18
1761264000000,19.13,19.96,19.02,19.49,2398372.66,1247992.4
1761350400000,19.49,19.83,19.24,19.71,1481426.75,762626.57
1761436800000,19.72,20.96,19.34,20.82,3076459.26,1485218.28
1761523200000,20.83,21.1,20.17,20.33,2370635.69,1200294.99
1761609600000,20.33,20.52,19.13,19.47,2668509.9,1381042.08
1761696000000,19.47,20.2,19.31,19.66,2469575.16,1161019.57
1761782400000,19.66,19.97,17.51,18.11,4250377.06,1984708.24
1761868800000,18.12,18.58,17.78,18.19,2613032.42,1253260.77
1761955200000,18.19,18.74,18.07,18.73,1331179.23,566775.03
1762041600000,18.72,19.01,18.1,18.8,1391904.48,645115.32
1762128000000,18.81,18.91,15.91,16.65,6049270.76,2995487.62
1762214400000,16.66,17.01,15.0,15.98,6537912.15,3086192.29
1762300800000,15.98,16.99,15.29,16.61,3776605.59,1884533.54
1762387200000,16.61,16.73,15.61,16.13,2855283.89,1388834.22
1762473600000,16.13,18.07,16.05,17.74,6510611.2,3263640.04
1762560000000,17.75,18.41,17.02,17.5,3365687.64,1563524.85
1762646400000,17.5,17.91,16.81,17.77,2421432.02,1195852.9
1762732800000,17.77,18.36,17.64,18.18,2968615.81,1396830.58
1762819200000,18.19,18.61,16.97,17.0,2938925.18,1486158.26
1762905600000,17.01,17.77,16.64,16.82,2341822.26,1146251.61
1762992000000,16.81,17.69,15.76,16.1,3784604.46,1813207.57
