open_time,open,high,low,close,volume,taker_buy_volume
1764331200000,15.02,15.06,15.0,15.01,62605.71,37847.53
1764334800000,15.01,15.11,14.99,15.08,108617.89,60995.77
1764338400000,15.08,15.18,15.05,15.12,124653.86,70093.69
1764342000000,15.12,15.27,15.07,15.09,172227.59,70654.28
1764345600000,15.1,15.1,14.82,14.84,277666.94,101626.83
1764349200000,14.85,14.89,14.8,14.85,193849.87,95683.01
1764352800000,14.86,14.9,14.82,14.86,142942.25,78673.5
1764356400000,14.87,14.89,14.84,14.89,86180.79,51525.33
1764360000000,14.89,14.89,14.83,14.87,67861.29,34669.06
1764363600000,14.87,14.89,14.79,14.84,175997.6,78843.39
1764367200000,14.84,14.9,14.82,14.85,105899.56,56408.7
1764370800000,14.86,14.88,14.84,14.84,54351.74,18836.87
1764374400000,14.85,14.88,14.84,14.88,25506.73,13199.96
1764378000000,14.87,14.89,14.84,14.85,27612.3,13219.8
1764381600000,14.85,14.88,14.82,14.88,59940.66,39649.76
1764385200000,14.87,14.89,14.83,14.85,37295.26,16467.26
1764388800000,14.85,14.91,14.84,14.89,26321.34,14884.22
1764392400000,14.89,14.9,14.84,14.86,57567.15,35335.05
1764396000000,14.86,14.88,14.78,14.79,89995.41,35184.89
1764399600000,14.79,14.79,14.66,14.68,108729.17,48174.06
1764403200000,14.68,14.73,14.64,14.72,72213.82,41152.24
1764406800000,14.73,14.77,14.7,14.77,50980.08,27701.91
1764410400000,14.76,14.86,14.72,14.84,78231.05,36561.87
1764414000000,14.85,14.89,14.82,14.87,55820.14,29967.06
1764417600000,14.88,14.89,14.84,14.85,33796.25,15141.89
1764421200000,14.85,14.88,14.84,14.84,31323.83,14137.01
1764424800000,14.85,14.85,14.74,14.75,68577.51,21872.54
1764428400000,14.75,14.86,14.75,14.86,58823.29,37327.98
1764432000000,14.85,14.86,14.78,14.81,27165.32,10934.19
1764435600000,14.81,14.83,14.67,14.68,65532.25,30489.69
1764439200000,14.68,14.68,14.45,14.52,206784.65,96893.85
1764442800000,14.52,14.52,14.37,14.45,115938.52,53635.78
1764446400000,14.45,14.45,14.26,14.36,181166.1,92969.7
1764450000000,14.36,14.39,14.3,14.35,76144.6,33725.2
1764453600000,14.35,14.4,14.28,14.38,67082.19,34550.8
1764457200000,14.37,14.38,14.19,14.25,90380.07,41103.98
1764460800000,14.25,14.28,14.2,14.21,67946.34,31841.43
1764464400000,14.21,14.32,14.2,14.29,44869.61,19037.75
1764468000000,14.28,14.34,14.22,14.24,45515.44,16204.12
1764471600000,14.25,14.26,14.13,14.2,107208.68,51387.27
1764475200000,14.21,14.22,14.13,14.16,39235.84,21479.91
1764478800000,14.16,14.16,14.03,14.04,71176.09,36497.12
1764482400000,14.04,14.09,13.98,14.09,126718.72,53255.36
1764486000000,14.1,14.16,14.07,14.14,81198.08,40143.35
1764489600000,14.15,14.2,14.04,14.17,130582.46,58846.55
1764493200000,14.18,14.22,14.13,14.15,93573.7,41891.32
1764496800000,14.14,14.15,14.08,14.09,60862.17,20590.26
1764500400000,14.09,14.13,14.04,14.07,51354.45,24481.45
1764504000000,14.07,14.22,14.05,14.19,64539.07,37312.03
1764507600000,14.19,14.31,14.18,14.27,96162.49,49841.31
1764511200000,14.28,14.28,14.1,14.16,87942.86,40820.56
1764514800000,14.15,14.19,14.08,14.17,51803.2,20992.34
1764518400000,14.17,14.28,14.16,14.27,57212.44,23528.31
1764522000000,14.27,14.27,14.15,14.22,63294.03,33378.83
1764525600000,14.22,14.22,13.83,13.96,338882.87,172965.67
1764529200000,13.97,14.03,13.94,14.0,131443.46,71272.23
1764532800000,14.0,14.04,13.95,13.98,94525.74,54241.54
1764536400000,13.98,13.98,13.76,13.84,141900.55,71577.45
1764540000000,13.84,13.94,13.83,13.93,107939.85,60777.58
1764543600000,13.93,13.93,13.66,13.71,139571.05,66793.44
1764547200000,13.72,13.74,13.1,13.11,719796.44,339276.38
1764550800000,13.11,13.26,13.08,13.11,156135.53,77027.97
1764554400000,13.12,13.2,13.09,13.14,100931.21,52308.46
1764558000000,13.14,13.14,12.94,12.96,147326.37,68168.11
1764561600000,12.96,12.99,12.87,12.93,100007.26,48843.69
1764565200000,12.93,12.98,12.89,12.92,81004.16,38761.95
1764568800000,12.92,13.03,12.9,12.95,117179.35,57757.1
1764572400000,12.95,13.1,12.95,13.07,73695.05,41444.21
1764576000000,13.07,13.09,13.01,13.07,62948.26,32909.33
1764579600000,13.06,13.11,12.98,13.01,77894.68,42749.96
1764583200000,13.02,13.03,12.97,12.98,64978.17,32054.8
1764586800000,12.99,13.02,12.94,12.95,88486.89,44672.62
1764590400000,12.95,12.95,12.77,12.91,189455.26,105582.77
1764594000000,12.91,12.97,12.75,12.83,213961.47,120968.34
1764597600000,12.83,12.96,12.8,12.88,215204.07,106177.09
1764601200000,12.88,12.89,12.61,12.7,304189.95,131814.79
1764604800000,12.7,12.73,12.54,12.62,197909.48,104923.33
1764608400000,12.62,12.74,12.61,12.69,132841.37,65913.03
1764612000000,12.69,12.78,12.62,12.71,81301.51,40868.46
1764615600000,12.72,12.72,12.61,12.62,61275.06,31431.33
1764619200000,12.61,12.77,12.59,12.65,119874.83,65163.38
1764622800000,12.65,12.84,12.64,12.8,146501.19,91233.17
1764626400000,12.8,12.86,12.74,12.79,108346.4,57100.17
1764630000000,12.79,12.87,12.75,12.76,66657.22,36162.41
1764633600000,12.76,12.8,12.71,12.79,67291.59,32866.75
1764637200000,12.79,13.02,12.77,12.85,133197.85,69233.88
1764640800000,12.84,12.96,12.83,12.92,63270.19,30804.23
1764644400000,12.93,12.96,12.81,12.95,78502.12,36199.39
1764648000000,12.95,13.0,12.9,12.91,44007.3,22135.14
1764651600000,12.91,12.95,12.86,12.94,33963.57,18293.68
1764655200000,12.94,13.02,12.91,13.01,42241.25,17965.34
1764658800000,13.01,13.05,12.96,13.03,82882.53,42923.81
1764662400000,13.03,13.09,12.9,12.94,904670.52,491919.75
1764666000000,12.95,13.04,12.91,12.96,122509.12,61865.77
1764669600000,12.96,13.13,12.96,13.1,96511.59,54179.67
1764673200000,13.1,13.11,12.86,12.91,615829.1,170722.51
1764676800000,12.91,12.95,12.84,12.91,163476.15,72707.61
1764680400000,12.91,13.04,12.88,13.01,116418.67,54585.25
1764684000000,13.01,13.27,13.0,13.26,359797.13,194920.61
1764687600000,13.26,13.72,13.26,13.67,619843.37,338977.82
1764691200000,13.67,13.74,13.55,13.59,339954.37,178692.09
1764694800000,13.59,13.71,13.54,13.58,145369.63,77196.71
1764698400000,13.58,13.71,13.58,13.66,102597.17,53059.96
1764702000000,13.67,13.71,13.62,13.65,76939.37,32114.1
1764705600000,13.65,13.7,13.56,13.65,143930.8,61087.02
1764709200000,13.65,13.68,13.61,13.66,97463.67,40953.38
1764712800000,13.66,13.76,13.65,13.73,64742.59,31278.71
1764716400000,13.74,13.74,13.62,13.62,58468.94,28095.51
1764720000000,13.63,13.69,13.58,13.66,113575.19,70492.03
1764723600000,13.66,13.76,13.63,13.71,121408.14,68546.05
1764727200000,13.71,13.85,13.7,13.8,166089.81,84011.33
1764730800000,13.79,13.84,13.77,13.82,88292.9,35036.8
1764734400000,13.81,13.94,13.79,13.92,144050.72,66249.88
1764738000000,13.92,14.06,13.91,14.05,207068.37,113667.35
1764741600000,14.05,14.35,14.05,14.11,398086.15,196771.44
1764745200000,14.12,14.18,14.08,14.13,154833.7,81667.09
1764748800000,14.13,14.19,14.05,14.15,137784.31,65719.13
1764752400000,14.15,14.16,14.01,14.08,105423.45,53630.26
1764756000000,14.08,14.13,14.04,14.04,62377.3,33026.39
1764759600000,14.05,14.09,14.01,14.07,69565.47,36484.79
1764763200000,14.07,14.12,14.04,14.11,83470.78,46121.89
1764766800000,14.11,14.24,14.1,14.18,141829.94,75542.26
1764770400000,14.19,14.3,13.87,14.11,607208.62,279327.87
1764774000000,14.11,14.22,14.06,14.17,173452.01,79311.49
1764777600000,14.17,14.34,14.07,14.27,212841.38,98970.36
1764781200000,14.28,14.44,14.27,14.38,247136.3,124832.71
1764784800000,14.39,14.5,14.34,14.37,218563.94,104824.89
1764788400000,14.37,14.5,14.36,14.5,153736.89,81283.87
1764792000000,14.5,14.53,14.41,14.45,184481.72,81676.61
1764795600000,14.45,14.92,14.43,14.91,550000.3,300193.46
1764799200000,14.9,15.09,14.74,14.85,666370.56,317049.7
1764802800000,14.85,14.91,14.76,14.78,183549.93,90518.88
1764806400000,14.78,14.88,14.73,14.82,154676.74,78528.5
1764810000000,14.82,14.88,14.68,14.71,198541.18,94049.95
1764813600000,14.7,14.78,14.7,14.74,158245.78,86949.57
1764817200000,14.74,14.75,14.71,14.72,42707.12,22473.26
1764820800000,14.72,14.75,14.7,14.73,67620.65,38199.2
1764824400000,14.73,14.76,14.71,14.75,70311.64,33306.33
1764828000000,14.75,14.76,14.71,14.71,84136.46,33925.9
1764831600000,14.71,14.76,14.68,14.72,91428.73,48178.53
1764835200000,14.72,14.76,14.71,14.72,41247.49,19719.4
1764838800000,14.73,14.79,14.71,14.74,62037.8,26238.33
1764842400000,14.74,14.77,14.71,14.74,47592.5,24919.8
1764846000000,14.74,14.76,14.7,14.75,68878.78,39170.02
1764849600000,14.75,14.76,14.7,14.74,70957.95,37440.29
1764853200000,14.74,14.76,14.7,14.72,78123.16,33495.0
1764856800000,14.72,14.77,14.64,14.67,186319.67,80656.24
1764860400000,14.67,14.86,14.66,14.75,208701.7,110395.2
1764864000000,14.75,14.77,14.7,14.72,129349.08,60758.04
1764867600000,14.72,14.74,14.5,14.57,216156.74,112524.97
1764871200000,14.57,14.58,14.47,14.49,140494.28,72000.67
1764874800000,14.48,14.49,14.21,14.43,292995.14,142983.55
1764878400000,14.42,14.5,14.35,14.48,102874.73,61102.32
1764882000000,14.47,14.51,14.38,14.39,61700.53,25181.91
1764885600000,14.39,14.47,14.38,14.45,53873.26,30549.45
1764889200000,14.44,14.48,14.38,14.41,55682.18,36385.94
1764892800000,14.4,14.48,14.39,14.46,59649.55,35391.53
1764896400000,14.45,14.51,14.44,14.47,53181.39,28269.92
1764900000000,14.47,14.52,14.44,14.49,64402.9,41922.84
1764903600000,14.49,14.52,14.44,14.45,58143.19,29709.97
1764907200000,14.45,14.48,14.36,14.41,71967.49,40250.05
1764910800000,14.41,14.44,14.35,14.35,55597.22,28891.63
1764914400000,14.36,14.41,14.32,14.37,126857.68,64330.0
1764918000000,14.36,14.43,14.34,14.36,65681.79,39245.59
1764921600000,14.36,14.36,14.16,14.21,239394.99,82576.03
1764925200000,14.2,14.2,13.95,13.96,184199.7,90578.88
1764928800000,13.96,14.03,13.94,13.96,103725.61,70520.55
1764932400000,13.96,14.0,13.77,13.81,242947.07,98614.87
1764936000000,13.8,13.8,13.66,13.76,145120.73,76066.46
1764939600000,13.75,13.79,13.63,13.69,160928.8,70901.77
1764943200000,13.7,13.73,13.58,13.63,155160.41,84411.05
1764946800000,13.64,13.88,13.64,13.68,316595.82,163231.99
1764950400000,13.68,13.68,13.3,13.45,319311.36,167006.01
1764954000000,13.44,13.49,13.3,13.42,107655.13,65785.37
1764957600000,13.41,13.52,13.26,13.26,113523.32,61723.39
1764961200000,13.26,13.46,13.2,13.42,210959.69,128292.35
1764964800000,13.42,13.43,13.3,13.34,78864.28,45425.85
1764968400000,13.34,13.39,13.27,13.28,91966.81,50210.45
1764972000000,13.29,13.32,13.19,13.24,159284.65,65999.86
1764975600000,13.24,13.25,13.09,13.21,391322.23,120219.11
1764979200000,13.21,13.27,13.14,13.27,83760.04,43261.65
1764982800000,13.26,13.39,13.26,13.39,104727.53,37398.96
1764986400000,13.38,13.39,13.25,13.31,142776.04,71587.58
1764990000000,13.31,13.37,13.3,13.32,53374.65,30321.11
1764993600000,13.32,13.33,13.26,13.29,29029.66,15108.94
1764997200000,13.29,13.33,13.28,13.31,39588.28,21775.7
1765000800000,13.3,13.31,13.23,13.25,47100.77,21260.1
1765004400000,13.26,13.28,13.21,13.23,31941.14,15673.51
1765008000000,13.23,13.24,13.16,13.18,31443.95,13440.15
1765011600000,13.17,13.29,13.17,13.28,43417.25,20574.88
1765015200000,13.28,13.32,13.2,13.2,75855.14,41041.91
1765018800000,13.2,13.24,13.18,13.23,45508.22,23091.5
1765022400000,13.22,13.24,13.19,13.19,49063.8,21548.7
1765026000000,13.19,13.23,13.16,13.21,65931.05,36334.75
1765029600000,13.2,13.33,13.17,13.31,165003.68,90306.93
1765033200000,13.31,13.35,13.21,13.32,102409.0,47371.63
1765036800000,13.31,13.44,13.3,13.36,104578.74,53826.71
1765040400000,13.37,13.44,13.32,13.38,56384.7,27730.35
1765044000000,13.38,13.49,13.35,13.43,98849.43,47265.17
1765047600000,13.43,13.46,13.27,13.31,111492.92,45003.15
1765051200000,13.31,13.4,13.29,13.38,51721.69,30940.67
1765054800000,13.38,13.47,13.35,13.43,233226.67,131370.27
1765058400000,13.42,13.45,13.36,13.39,173789.4,88259.53
1765062000000,13.39,13.42,13.31,13.4,53486.29,28935.68
1765065600000,13.41,13.52,13.4,13.47,71005.4,31160.57
1765069200000,13.47,13.51,13.45,13.45,54284.89,22011.38
1765072800000,13.45,13.55,13.45,13.54,29853.56,11607.55
1765076400000,13.55,13.55,13.44,13.49,20788.28,8285.9
1765080000000,13.5,13.52,13.4,13.41,41603.65,13283.63
1765083600000,13.41,13.49,13.39,13.47,28465.63,17314.34
1765087200000,13.47,13.51,13.45,13.49,22864.6,7117.65
1765090800000,13.49,13.5,13.37,13.4,44948.3,23561.71
1765094400000,13.4,13.43,13.35,13.39,25577.56,13468.29
1765098000000,13.39,13.41,13.32,13.34,57864.45,25376.95
1765101600000,13.34,13.41,13.31,13.35,40558.87,19002.06
1765105200000,13.36,13.37,13.33,13.34,16936.27,7259.14
1765108800000,13.34,13.44,13.33,13.43,27394.94,8999.2
1765112400000,13.42,13.44,13.3,13.33,58125.49,28800.37
1765116000000,13.33,13.34,12.96,13.02,374051.47,177765.88
1765119600000,13.01,13.43,12.99,13.43,197200.74,109783.45
1765123200000,13.42,13.45,13.3,13.45,131769.12,57708.38
1765126800000,13.44,13.71,13.35,13.66,351203.19,181167.21
1765130400000,13.67,13.85,13.67,13.77,183990.23,90939.73
1765134000000,13.78,13.8,13.71,13.76,102774.27,42682.84
1765137600000,13.76,13.82,13.73,13.81,51971.92,25318.11
1765141200000,13.8,13.8,13.47,13.52,138976.74,42608.1
1765144800000,13.53,13.53,13.27,13.38,236378.59,121280.67
1765148400000,13.38,13.51,13.32,13.49,99414.64,48274.74
1765152000000,13.49,13.49,13.38,13.39,73866.04,35275.86
1765155600000,13.39,13.67,13.38,13.53,92684.38,45784.87
1765159200000,13.53,13.58,13.49,13.57,34455.31,20486.51
1765162800000,13.58,13.61,13.52,13.55,29640.87,15390.3
1765166400000,13.55,13.68,13.54,13.65,42609.48,22909.85
1765170000000,13.65,13.72,13.58,13.7,50532.47,25186.37
1765173600000,13.71,13.73,13.68,13.69,44657.8,19532.11
1765177200000,13.68,13.72,13.64,13.68,50687.08,25715.96
1765180800000,13.69,13.76,13.66,13.75,49805.79,26792.75
1765184400000,13.75,13.91,13.74,13.78,157309.47,81165.44
1765188000000,13.78,13.83,13.76,13.82,64699.8,39193.84
1765191600000,13.82,13.83,13.7,13.74,44956.21,13602.89
1765195200000,13.75,13.75,13.68,13.74,60148.85,23346.41
1765198800000,13.74,13.82,13.7,13.73,69011.77,27429.65
1765202400000,13.74,13.82,13.64,13.71,135963.98,60569.96
1765206000000,13.71,13.75,13.52,13.59,128143.25,60368.86
1765209600000,13.58,13.71,13.52,13.63,93195.0,44617.49
1765213200000,13.63,13.72,13.56,13.68,84841.85,33459.72
1765216800000,13.68,13.72,13.48,13.54,70751.22,24732.79
1765220400000,13.54,13.62,13.52,13.55,101206.61,33827.54
1765224000000,13.55,13.66,13.53,13.63,242902.66,101011.98
1765227600000,13.63,13.75,13.6,13.73,84282.49,40313.75
1765231200000,13.73,13.75,13.63,13.68,83858.53,48040.43
1765234800000,13.68,13.7,13.6,13.64,47977.53,18783.21
1765238400000,13.64,13.73,13.6,13.62,76110.42,41072.26
1765242000000,13.62,13.63,13.53,13.56,73947.6,38290.82
1765245600000,13.56,13.64,13.56,13.59,44522.15,20563.52
1765249200000,13.59,13.74,13.53,13.72,88488.54,38821.55
1765252800000,13.73,13.77,13.64,13.66,104336.52,41543.07
1765256400000,13.66,13.69,13.57,13.58,65997.3,28785.43
1765260000000,13.58,13.63,13.54,13.62,50536.81,27414.84
1765263600000,13.62,13.73,13.61,13.73,50044.83,22535.26
1765267200000,13.73,13.77,13.68,13.69,54343.55,27393.06
1765270800000,13.7,13.7,13.57,13.58,36128.96,14039.87
1765274400000,13.58,13.63,13.52,13.57,85527.64,34045.48
1765278000000,13.57,13.61,13.5,13.59,81298.34,50609.52
1765281600000,13.6,13.69,13.57,13.66,58466.14,26471.61
1765285200000,13.66,13.72,13.59,13.63,75592.34,35439.91
1765288800000,13.64,13.69,13.55,13.62,132156.22,63677.15
1765292400000,13.62,14.18,13.6,14.13,490603.85,262949.35
1765296000000,14.13,14.68,14.13,14.61,628966.91,341735.19
1765299600000,14.61,14.73,14.52,14.59,335094.28,155133.86
1765303200000,14.59,14.67,14.55,14.63,113010.61,59931.85
1765306800000,14.63,14.65,14.56,14.62,95935.47,44075.73
1765310400000,14.62,14.65,14.56,14.61,162881.7,90754.87
1765314000000,14.6,14.64,14.48,14.6,265967.27,165125.42
1765317600000,14.61,14.67,14.57,14.61,98807.76,56753.46
1765321200000,14.6,14.64,14.58,14.6,55734.33,21960.28
1765324800000,14.61,14.65,14.56,14.58,111183.23,63864.37
