open_time,open,high,low,close,volume,taker_buy_volume
1724978700000,536.3,537.3,535.9,536.0,1029.431,390.558
1724979600000,536.0,536.8,535.5,535.9,680.409,386.275
1724980500000,535.9,535.9,532.0,532.3,3587.859,1090.825
1724981400000,532.4,534.7,532.1,533.8,1194.217,766.851
1724982300000,533.9,534.6,533.4,534.2,675.798,434.284
1724983200000,534.1,534.2,533.0,533.5,1343.619,851.057
1724984100000,533.6,533.8,531.3,532.8,2523.455,937.285
1724985000000,532.8,533.1,532.2,532.5,960.38,469.881
1724985900000,532.5,532.8,531.6,532.6,588.453,288.187
1724986800000,532.5,532.6,530.6,531.1,1880.393,785.549
1724987700000,531.2,532.1,530.2,530.3,981.056,525.408
1724988600000,530.4,530.5,529.2,530.0,2315.391,693.68
1724989500000,530.0,531.3,529.7,530.1,1812.349,982.085
1724990400000,530.0,531.4,530.0,531.2,1500.632,592.242
1724991300000,531.2,532.5,531.2,531.5,825.235,497.784
1724992200000,531.5,532.6,531.4,532.1,706.886,379.468
1724993100000,532.1,532.2,531.0,531.6,655.426,381.418
1724994000000,531.7,532.0,530.2,531.0,1649.489,976.219
1724994900000,530.9,531.8,529.3,529.8,2608.488,942.763
1724995800000,529.9,531.5,529.7,530.9,1839.564,1031.23
1724996700000,530.8,530.9,529.0,529.2,2157.533,800.215
1724997600000,529.2,530.6,528.3,530.5,2543.381,1392.068
1724998500000,530.5,531.0,530.0,530.6,1694.67,862.904
1724999400000,530.6,533.0,530.3,532.5,744.137,552.993
1725000300000,532.6,534.1,532.1,534.0,1224.278,658.084
1725001200000,534.0,534.5,533.1,534.4,1325.411,641.311
1725002100000,534.5,535.5,534.1,535.2,1365.795,900.076
1725003000000,535.3,535.5,533.4,533.7,1397.407,622.277
1725003900000,533.7,534.0,532.4,533.2,911.064,418.158
1725004800000,533.2,534.1,533.1,534.1,671.319,422.856
1725005700000,534.1,534.9,533.6,534.9,1062.762,828.697
1725006600000,534.9,535.9,534.5,535.9,2844.152,1951.335
1725007500000,535.9,536.0,535.0,535.8,1798.773,460.507
1725008400000,535.7,537.1,535.5,537.1,1180.481,780.155
1725009300000,537.1,538.0,535.9,537.4,1665.511,903.909
1725010200000,537.4,537.8,536.7,537.8,826.566,364.111
1725011100000,537.8,538.2,536.7,537.2,1352.854,484.685
1725012000000,537.2,538.3,536.7,537.9,1002.801,405.521
1725012900000,537.8,538.2,537.6,537.8,932.248,422.993
1725013800000,537.8,538.7,537.5,538.6,3049.397,866.175
1725014700000,538.6,540.8,538.2,539.6,6572.285,3631.514
1725015600000,539.6,540.3,538.5,538.8,867.206,256.301
1725016500000,538.8,540.2,538.5,539.7,2003.499,1124.073
1725017400000,539.7,539.9,537.7,537.7,958.298,207.222
1725018300000,537.8,538.6,537.0,538.4,1958.747,1028.617
1725019200000,538.4,540.2,538.1,540.1,2248.24,1294.215
1725020100000,540.1,541.0,539.1,540.5,2183.941,1090.451
1725021000000,540.6,543.4,540.3,542.5,6269.602,3433.197
1725021900000,542.4,543.4,541.3,541.6,3318.772,2061.279
1725022800000,541.6,542.0,540.9,541.9,1148.125,501.005
1725023700000,542.0,542.5,541.5,541.6,1432.512,684.506
1725024600000,541.6,542.3,540.8,541.0,2653.709,1246.149
1725025500000,541.0,541.5,535.9,541.2,5165.792,2088.153
1725026400000,541.2,542.2,537.2,537.4,2844.785,969.706
1725027300000,537.5,539.0,535.9,538.7,2463.401,1396.87
1725028200000,538.8,538.9,535.1,535.4,1704.992,820.702
1725029100000,535.4,537.7,529.3,529.7,11520.185,4669.694
1725030000000,529.8,531.5,525.9,530.6,13432.832,5635.129
1725030900000,530.6,531.2,526.8,527.5,4722.384,2117.188
