open_time,open,high,low,close,volume,taker_buy_volume
1764331200000,891.8,893.2,889.5,889.64,2533.805,1457.371
1764334800000,889.63,899.48,887.2,898.87,9218.411,5407.353
1764338400000,898.87,903.7,893.25,898.79,15907.438,8562.92
1764342000000,898.8,906.5,896.16,902.0,11432.698,6341.534
1764345600000,902.0,902.33,884.14,884.59,12648.023,5321.998
1764349200000,884.6,885.59,876.15,881.12,15676.746,7109.154
1764352800000,881.11,884.05,877.0,882.48,8298.141,3882.72
1764356400000,882.48,887.4,882.13,886.29,4310.101,2815.102
1764360000000,886.28,890.3,883.1,889.81,3598.964,1963.719
1764363600000,889.8,890.46,885.11,885.81,5313.981,1808.573
1764367200000,885.81,889.0,883.99,888.32,4302.664,2103.842
1764370800000,888.33,889.49,887.19,887.19,2895.705,1784.296
1764374400000,887.2,887.87,884.23,885.9,1975.706,1102.119
1764378000000,885.9,889.0,885.4,886.01,3303.73,2000.484
1764381600000,886.01,887.39,883.47,885.28,1934.996,972.468
1764385200000,885.29,886.54,883.58,884.14,2052.206,1014.405
1764388800000,884.13,884.84,882.79,884.47,4508.329,2299.763
1764392400000,884.47,884.48,881.1,881.3,4327.374,1594.493
1764396000000,881.29,882.8,876.46,878.9,6775.794,2810.903
1764399600000,878.91,880.55,878.1,879.06,4438.056,2983.401
1764403200000,879.07,880.72,878.0,880.0,2930.714,1720.562
1764406800000,880.0,881.52,879.39,881.21,2804.322,1444.016
1764410400000,881.2,882.25,878.15,879.07,2289.992,1039.626
1764414000000,879.07,879.77,877.49,878.56,3387.721,1608.721
1764417600000,878.56,879.6,875.97,877.19,4347.107,2013.562
1764421200000,877.19,878.7,875.22,878.09,2906.864,1231.923
1764424800000,878.1,878.24,875.51,875.76,2072.749,1088.911
1764428400000,875.76,882.0,875.75,880.93,4531.382,2755.637
1764432000000,880.92,881.76,879.12,881.29,2236.304,1187.126
1764435600000,881.29,881.65,872.79,872.93,6826.738,3192.743
1764439200000,872.93,874.27,868.25,874.01,9661.032,5314.757
1764442800000,874.01,874.59,872.6,873.1,1360.896,590.288
1764446400000,873.09,874.68,870.6,874.53,1361.704,723.703
1764450000000,874.53,875.66,872.0,875.4,1344.721,673.264
1764453600000,875.4,875.4,872.73,873.5,1286.02,559.986
1764457200000,873.5,875.21,871.59,872.9,1395.475,808.537
1764460800000,872.9,875.3,872.8,875.3,1642.967,1133.532
1764464400000,875.29,878.58,874.9,876.86,1782.82,1072.015
1764468000000,876.86,878.94,873.89,873.96,1593.936,755.037
1764471600000,873.97,876.2,869.56,875.59,3779.914,1509.205
1764475200000,875.6,876.95,873.85,874.2,1596.962,788.298
1764478800000,874.2,874.26,870.13,871.45,2782.138,1254.207
1764482400000,871.45,874.29,870.8,872.44,1910.122,844.282
1764486000000,872.44,875.6,872.21,874.78,1820.671,1112.247
1764489600000,874.79,878.6,874.4,877.34,3527.914,1793.791
1764493200000,877.35,879.53,876.8,879.17,2991.592,1574.249
1764496800000,879.18,879.69,876.52,877.14,2140.05,931.885
1764500400000,877.14,878.92,875.76,876.72,3086.432,1514.032
1764504000000,876.72,883.66,875.7,882.58,5510.09,2913.844
1764507600000,882.59,896.5,882.58,896.45,20608.706,9344.121
1764511200000,896.45,897.89,890.23,893.91,10627.812,4153.408
1764514800000,893.91,895.38,890.26,893.99,4584.642,2119.529
1764518400000,894.0,899.75,893.87,899.12,5951.702,3125.743
1764522000000,899.11,899.12,895.32,897.46,3402.523,1663.877
1764525600000,897.46,897.48,892.85,895.9,4437.434,1718.583
1764529200000,895.91,896.63,893.94,894.99,1427.337,773.123
1764532800000,895.0,897.0,892.4,895.32,3463.89,2071.048
1764536400000,895.33,895.55,886.79,889.06,6305.191,2739.351
1764540000000,889.07,890.11,885.61,888.37,3028.241,1649.305
1764543600000,888.38,888.53,874.2,875.31,8227.501,3202.511
1764547200000,875.3,877.12,834.3,834.5,60097.061,26779.888
1764550800000,834.5,845.47,834.21,837.79,18317.468,9067.157
1764554400000,837.82,842.51,834.04,836.01,15731.694,7831.499
1764558000000,836.0,836.99,827.59,829.4,19324.312,9867.645
1764561600000,829.39,829.66,821.88,823.17,13363.091,5786.62
1764565200000,823.17,824.63,820.73,823.29,9081.19,4916.076
1764568800000,823.3,829.98,822.55,828.03,14200.254,8804.725
1764572400000,828.03,832.97,825.33,832.43,8150.424,4951.203
1764576000000,832.44,833.39,827.7,829.91,12399.729,3948.387
1764579600000,829.9,832.18,823.0,823.63,18815.782,9655.891
1764583200000,823.63,828.04,823.63,828.0,10176.391,3751.861
1764586800000,828.01,828.01,823.8,824.86,12511.916,3492.717
1764590400000,824.86,824.95,814.42,821.43,18343.349,6665.053
1764594000000,821.43,826.39,815.33,816.48,14808.655,8798.04
1764597600000,816.48,824.99,815.9,819.86,14599.003,8323.278
1764601200000,819.87,820.41,801.7,811.85,30112.213,12368.624
1764604800000,811.86,816.51,808.41,810.11,10719.249,5118.592
1764608400000,810.11,816.22,810.11,812.52,6325.425,3653.331
1764612000000,812.53,818.86,812.05,817.31,5860.778,3651.814
1764615600000,817.31,817.56,811.6,814.7,3367.567,1686.037
1764619200000,814.69,821.11,814.61,817.31,7187.521,3788.416
1764622800000,817.31,824.73,817.17,822.99,7677.172,4667.958
1764626400000,823.0,830.22,823.0,826.9,6088.03,2974.162
1764630000000,826.89,832.32,826.61,826.61,5488.111,2686.552
1764633600000,826.6,827.8,823.8,826.3,3778.991,1929.311
1764637200000,826.29,834.0,825.6,828.96,6853.851,3986.817
1764640800000,828.96,833.57,826.58,827.62,7853.369,3548.885
1764644400000,827.61,830.06,820.46,828.38,9503.685,4334.499
1764648000000,828.39,832.69,828.2,832.58,5251.483,2969.461
