open_time,open,high,low,close,volume,taker_buy_volume
1724978700000,4.247,4.261,4.244,4.254,7759.52,4769.65
1724979600000,4.255,4.267,4.252,4.265,8599.15,4768.25
1724980500000,4.263,4.264,4.239,4.245,9609.16,3709.01
1724981400000,4.243,4.261,4.239,4.252,11618.26,4278.09
1724982300000,4.253,4.266,4.249,4.266,4862.43,2388.83
1724983200000,4.264,4.272,4.257,4.262,17408.85,8325.87
1724984100000,4.263,4.266,4.242,4.262,23283.54,14481.55
1724985000000,4.262,4.27,4.259,4.262,13099.78,6275.45
1724985900000,4.262,4.264,4.25,4.262,6323.65,2435.49
1724986800000,4.262,4.262,4.237,4.243,9795.82,1575.19
1724987700000,4.245,4.259,4.242,4.244,6483.58,3248.39
1724988600000,4.243,4.243,4.237,4.241,8136.34,1790.22
1724989500000,4.242,4.258,4.241,4.246,3950.08,1438.75
1724990400000,4.246,4.266,4.246,4.265,5837.99,3017.33
1724991300000,4.265,4.273,4.26,4.261,6649.93,2884.65
1724992200000,4.262,4.274,4.259,4.271,5758.01,3735.15
1724993100000,4.269,4.27,4.263,4.265,1904.62,1358.78
1724994000000,4.265,4.269,4.252,4.261,17144.16,8142.51
1724994900000,4.26,4.264,4.244,4.256,22334.79,8090.94
1724995800000,4.257,4.28,4.255,4.276,16843.43,7310.87
1724996700000,4.276,4.288,4.271,4.272,30423.06,13178.34
1724997600000,4.274,4.285,4.258,4.279,12867.38,4902.69
1724998500000,4.278,4.284,4.27,4.282,24167.6,17032.87
1724999400000,4.281,4.307,4.28,4.3,29042.58,20855.6
1725000300000,4.3,4.317,4.294,4.314,34326.89,19275.48
1725001200000,4.313,4.324,4.305,4.323,23015.5,14960.22
1725002100000,4.322,4.335,4.319,4.329,26047.31,14962.59
1725003000000,4.329,4.33,4.308,4.309,27141.7,11940.14
1725003900000,4.311,4.315,4.295,4.299,22578.09,5805.97
1725004800000,4.298,4.31,4.297,4.31,20911.77,8353.87
1725005700000,4.308,4.322,4.306,4.317,13450.52,4125.29
1725006600000,4.317,4.331,4.308,4.315,24347.1,12754.89
1725007500000,4.315,4.318,4.31,4.317,5753.42,1783.92
1725008400000,4.317,4.322,4.308,4.32,22045.31,8346.02
1725009300000,4.319,4.323,4.31,4.319,15336.2,5808.79
1725010200000,4.319,4.323,4.314,4.32,5981.88,2286.0
1725011100000,4.32,4.327,4.314,4.315,8260.03,3349.34
1725012000000,4.316,4.316,4.309,4.31,4094.65,1478.83
1725012900000,4.31,4.316,4.309,4.31,5814.19,2783.14
1725013800000,4.31,4.314,4.291,4.304,13545.11,5897.34
1725014700000,4.304,4.307,4.297,4.297,11430.05,3593.17
1725015600000,4.296,4.3,4.286,4.289,12132.65,4433.82
1725016500000,4.288,4.307,4.285,4.301,7308.18,4767.62
1725017400000,4.301,4.302,4.28,4.281,10515.93,3056.76
1725018300000,4.282,4.287,4.272,4.272,20695.78,9995.52
1725019200000,4.272,4.288,4.271,4.286,12092.71,9703.66
1725020100000,4.286,4.297,4.274,4.288,11001.98,6590.5
1725021000000,4.287,4.314,4.279,4.296,54493.52,30875.64
1725021900000,4.295,4.303,4.283,4.288,9387.79,3637.4
1725022800000,4.288,4.288,4.273,4.283,11546.74,6161.16
1725023700000,4.283,4.295,4.279,4.282,18635.7,10813.76
1725024600000,4.282,4.286,4.264,4.267,34459.37,16060.96
1725025500000,4.271,4.29,4.234,4.285,70069.66,27860.52
1725026400000,4.287,4.302,4.258,4.259,26856.98,11091.0
1725027300000,4.261,4.266,4.246,4.264,25893.25,13712.02
1725028200000,4.264,4.265,4.213,4.219,47781.88,15958.24
1725029100000,4.22,4.234,4.179,4.18,86850.88,35855.67
1725030000000,4.179,4.197,4.128,4.193,221852.38,109315.08
1725030900000,4.193,4.196,4.146,4.151,83527.46,30166.62
1725031800000,4.152,4.165,4.112,4.134,131162.66,46818.48
1725032700000,4.134,4.148,4.101,4.12,59302.24,30637.18
1725033600000,4.121,4.162,4.103,4.161,97728.34,50445.32
1725034500000,4.159,4.17,4.113,4.146,132833.53,51355.11
1725035400000,4.143,4.159,4.133,4.157,29898.31,16075.83
1725036300000,4.155,4.196,4.153,4.194,37521.68,23128.95
1725037200000,4.193,4.206,4.178,4.201,32385.79,15764.47
1725038100000,4.2,4.207,4.187,4.199,9693.08,4390.17
1725039000000,4.2,4.211,4.187,4.198,20742.85,9428.14
1725039900000,4.198,4.221,4.198,4.208,23683.96,14975.99
1725040800000,4.209,4.218,4.202,4.214,43477.81,12718.27
1725041700000,4.214,4.246,4.209,4.246,41887.87,23309.91
1725042600000,4.247,4.268,4.231,4.258,49347.39,25500.06
1725043500000,4.262,4.276,4.255,4.263,50521.78,22197.66
1725044400000,4.263,4.263,4.23,4.235,27683.49,10093.16
