open_time,open,high,low,close,volume,taker_buy_volume
1747008000000,5.097,5.4,4.89,5.068,9921543.44,4981305.52
1747094400000,5.069,5.273,4.823,5.195,6748215.11,3255718.69
1747180800000,5.194,5.267,4.947,4.98,5284499.6,2383257.42
1747267200000,4.981,5.028,4.679,4.779,7496534.85,3805301.12
1747353600000,4.778,4.956,4.711,4.755,4420510.08,2165355.68
1747440000000,4.755,4.768,4.557,4.612,3799964.46,1912931.09
1747526400000,4.613,4.921,4.508,4.793,4741500.76,2319304.14
1747612800000,4.794,4.821,4.412,4.596,5563926.25,2607074.92
1747699200000,4.597,4.727,4.519,4.677,4133769.06,1916822.25
1747785600000,4.677,4.877,4.612,4.74,6374820.22,3202320.24
1747872000000,4.741,4.977,4.732,4.948,4934402.45,2429196.24
1747958400000,4.948,5.12,4.531,4.561,10214231.78,4891652.63
1748044800000,4.562,4.633,4.511,4.545,3091142.26,1465635.62
1748131200000,4.546,4.564,4.35,4.523,3942315.1,1799403.37
1748217600000,4.523,4.617,4.426,4.468,3794527.16,1786371.24
1748304000000,4.468,4.614,4.373,4.535,3874357.43,1909084.52
1748390400000,4.536,4.661,4.419,4.587,4289732.2,2100431.83
1748476800000,4.588,4.682,4.33,4.332,4814923.2,2416497.31
1748563200000,4.333,4.358,4.008,4.049,8486843.25,4049401.9
1748649600000,4.049,4.121,3.895,4.076,5429234.96,2624912.27
1748736000000,4.077,4.102,3.971,4.066,2555495.93,1360590.11
1748822400000,4.066,4.171,3.952,4.148,3601436.52,1698283.22
1748908800000,4.149,4.223,4.097,4.137,3668892.34,1744469.47
1748995200000,4.137,4.214,3.985,4.006,5036516.92,2577645.97
1749081600000,4.006,4.078,3.742,3.814,6640572.84,3218645.46
1749168000000,3.814,3.992,3.802,3.884,3530206.93,1799715.69
1749254400000,3.886,4.058,3.868,4.031,2274474.36,1179050.65
1749340800000,4.031,4.112,3.977,4.025,2726928.43,1313494.43
1749427200000,4.026,4.162,3.963,4.151,4628656.78,2167938.88
1749513600000,4.152,4.317,4.097,4.294,6662210.27,3336413.93
1749600000000,4.295,4.346,4.146,4.189,5328497.22,2500874.07
1749686400000,4.188,4.204,3.907,3.919,5999705.47,2941965.33
1749772800000,3.919,3.919,3.664,3.838,9117736.81,4438620.61
1749859200000,3.838,3.846,3.716,3.781,2930108.58,1329309.06
1749945600000,3.782,3.834,3.735,3.821,1774308.52,902855.93
1750032000000,3.821,3.991,3.786,3.847,4011866.39,1879836.22
1750118400000,3.846,3.897,3.663,3.719,5144535.08,2444785.68
1750204800000,3.719,3.786,3.572,3.622,6307506.25,2649698.2
1750291200000,3.622,3.657,3.496,3.548,6333647.02,2577885.31
1750377600000,3.547,3.577,3.33,3.437,7730014.2,3236233.84
1750464000000,3.437,3.508,3.209,3.324,5927367.37,2521773.6
1750550400000,3.325,3.363,3.007,3.153,11019675.81,5037701.92
1750636800000,3.153,3.421,3.111,3.416,8879579.75,4284297.3
1750723200000,3.416,3.525,3.385,3.439,4687786.75,2260205.94
1750809600000,3.438,3.465,3.341,3.352,3894305.42,1865945.53
1750896000000,3.352,3.433,3.271,3.299,3980149.78,1913609.46
1750982400000,3.299,3.394,3.274,3.359,3955846.51,1964277.0
1751068800000,3.36,3.426,3.33,3.407,1866680.64,893876.73
1751155200000,3.408,3.582,3.379,3.541,2800833.68,1327370.56
1751241600000,3.542,3.56,3.352,3.397,3677669.93,1832344.69
1751328000000,3.397,3.42,3.256,3.281,3435357.79,1766902.35
1751414400000,3.28,3.625,3.241,3.545,6939908.98,3594358.41
1751500800000,3.545,3.665,3.499,3.539,5719860.72,2851034.43
1751587200000,3.539,3.561,3.313,3.358,5659272.37,2910856.66
1751673600000,3.358,3.39,3.308,3.356,2237505.07,1007197.44
1751760000000,3.356,3.448,3.328,3.395,3771010.63,1930952.52
1751846400000,3.395,3.437,3.323,3.369,2853677.78,1288963.08
1751932800000,3.369,3.477,3.327,3.448,3238505.57,1573544.78
1752019200000,3.448,3.659,3.417,3.62,5645429.86,2662471.59
1752105600000,3.62,3.893,3.59,3.881,7702932.38,3770577.79
1752192000000,3.882,4.11,3.81,3.907,11587795.88,5283660.96
1752278400000,3.906,4.065,3.796,3.891,6362410.61,2815161.67
1752364800000,3.891,4.067,3.876,3.984,4490493.77,2308764.94
1752451200000,3.986,4.196,3.901,3.95,7927204.23,3868778.96
1752537600000,3.951,4.099,3.8,4.083,7487065.71,3702641.23
1752624000000,4.082,4.269,4.011,4.156,8644793.78,4190126.53
1752710400000,4.156,4.303,4.065,4.26,10269842.37,5091225.33
1752796800000,4.26,4.624,4.137,4.227,15308346.29,7563441.66
1752883200000,4.228,4.454,4.133,4.409,5326771.73,2824541.57
1752969600000,4.41,4.587,4.348,4.48,8442881.82,4119133.38
1753056000000,4.48,4.673,4.395,4.499,10863654.36,5581162.02
1753142400000,4.499,4.554,4.279,4.549,12364489.73,5877927.63
1753228800000,4.551,4.551,4.0,4.113,13057291.53,6289305.72
1753315200000,4.114,4.202,3.894,4.0,13015319.69,6928990.42
1753401600000,4.001,4.1,3.863,4.088,8036783.72,3900311.99
1753488000000,4.088,4.195,4.069,4.124,3803852.35,1922153.7
1753574400000,4.124,4.25,4.113,4.24,3861788.18,1877536.65
1753660800000,4.239,4.309,3.93,3.965,8173653.83,3844590.12
1753747200000,3.965,4.084,3.82,3.905,8196464.85,4279513.28
1753833600000,3.905,3.921,3.626,3.805,9521746.16,4804353.84
1753920000000,3.807,3.921,3.665,3.682,6961247.47,3672128.58
1754006400000,3.682,3.723,3.446,3.547,12325057.3,6223012.49
1754092800000,3.547,3.631,3.427,3.509,7331432.98,3730793.96
1754179200000,3.508,3.627,3.459,3.602,4271487.01,1870396.16
1754265600000,3.603,3.757,3.597,3.72,5254660.42,2599557.59
1754352000000,3.72,3.725,3.538,3.621,4867850.77,2326806.4
1754438400000,3.62,3.696,3.553,3.673,4176179.49,2027702.35
1754524800000,3.673,3.872,3.644,3.867,6942776.28,3519673.73
1754611200000,3.867,3.998,3.809,3.979,9301135.78,4649470.46
1754697600000,3.98,4.167,3.971,4.138,6335022.21,3268812.77
1754784000000,4.138,4.181,3.965,4.046,6706646.13,3280260.43
1754870400000,4.047,4.158,3.817,3.854,8300985.31,4056977.24
1754956800000,3.854,4.234,3.837,4.157,9675655.97,4899898.8
1755043200000,4.157,4.317,4.097,4.276,10297928.08,5330300.92
1755129600000,4.277,4.371,3.903,3.986,15790612.61,7624684.51
1755216000000,3.985,4.103,3.812,3.896,10343199.92,5188911.78
1755302400000,3.895,3.997,3.89,3.966,3322722.85,1678866.95
1755388800000,3.965,4.193,3.923,4.051,6055265.18,3108179.68
1755475200000,4.052,4.062,3.83,3.914,9368368.75,4668756.12
1755561600000,3.915,3.96,3.712,3.719,7305952.56,3554103.43
1755648000000,3.72,3.905,3.697,3.884,6469886.1,3323030.81
1755734400000,3.884,3.923,3.773,3.797,3624305.24,1747394.14
1755820800000,3.797,4.207,3.69,4.18,13159075.02,6842305.41
1755907200000,4.181,4.265,4.026,4.228,7634548.17,3682634.42
1755993600000,4.228,4.283,4.013,4.11,10514865.37,5135648.06
1756080000000,4.11,4.146,3.689,3.734,12839625.21,6169971.62
1756166400000,3.733,3.923,3.708,3.887,5875192.67,2908156.18
1756252800000,3.887,3.934,3.824,3.837,5843493.47,2853797.42
1756339200000,3.837,4.021,3.807,3.981,9442655.7,5019501.91
1756425600000,3.98,4.002,3.724,3.774,11616215.46,5416807.75
1756512000000,3.775,3.825,3.712,3.811,3739627.01,2026634.55
1756598400000,3.81,3.875,3.735,3.742,5058032.28,2456756.38
1756684800000,3.742,3.887,3.612,3.693,9277624.68,4731120.57
1756771200000,3.694,3.826,3.676,3.82,5209474.46,2613030.57
1756857600000,3.819,3.906,3.786,3.865,3962287.04,2161963.03
1756944000000,3.866,3.877,3.725,3.764,3587924.75,1753680.02
1757030400000,3.764,3.894,3.757,3.828,5370012.94,2607403.51
1757116800000,3.827,3.885,3.782,3.823,2898761.54,1370771.38
1757203200000,3.824,4.089,3.822,3.995,8531584.81,4595063.63
1757289600000,3.996,4.082,3.981,4.045,8214086.86,3916093.48
1757376000000,4.045,4.182,4.004,4.14,9473367.09,4668489.87
1757462400000,4.139,4.227,4.054,4.216,8171709.85,3958577.69
1757548800000,4.216,4.26,4.119,4.242,6936262.84,3433378.86
1757635200000,4.242,4.322,4.153,4.319,6911202.75,3708426.54
1757721600000,4.319,4.626,4.303,4.492,11803303.5,5831126.09
1757808000000,4.492,4.498,4.28,4.316,6172903.79,2958937.39
1757894400000,4.316,4.405,4.104,4.151,7903428.85,4014219.9
1757980800000,4.151,4.295,4.109,4.253,7509246.75,3465077.08
1758067200000,4.254,4.432,4.136,4.403,8161416.41,3976194.58
1758153600000,4.403,4.595,4.373,4.533,9989936.15,5457414.54
1758240000000,4.533,4.882,4.318,4.359,16139500.94,8286058.2
1758326400000,4.358,4.463,4.289,4.356,6646556.19,3306671.26
1758412800000,4.356,4.387,4.236,4.262,4486161.2,2184805.58
1758499200000,4.261,4.279,3.821,4.037,13684796.77,6353470.93
1758585600000,4.037,4.059,3.938,3.966,5764633.15,2990553.05
1758672000000,3.965,4.115,3.889,3.992,6311985.33,2940222.34
1758758400000,3.992,4.005,3.771,3.804,11887593.18,5210820.07
1758844800000,3.804,3.97,3.776,3.924,6107591.86,3018338.89
1758931200000,3.924,3.927,3.851,3.889,2788713.49,1242191.75
1759017600000,3.889,4.03,3.792,3.997,4451365.02,2231585.44
1759104000000,3.997,4.023,3.858,3.98,6112476.63,2947470.9
1759190400000,3.98,3.992,3.808,3.909,4219657.99,1968310.52
1759276800000,3.909,4.126,3.883,4.126,6247286.83,2985338.27
1759363200000,4.126,4.34,4.1,4.306,8406597.21,4341496.99
1759449600000,4.307,4.384,4.179,4.32,7021367.23,3563027.33
1759536000000,4.321,4.329,4.135,4.187,4829228.68,2067968.51
1759622400000,4.189,4.375,4.077,4.134,6376106.76,2880800.41
1759708800000,4.134,4.439,4.109,4.398,9254105.48,4541041.08
1759795200000,4.399,4.434,4.106,4.139,8608356.86,3968623.01
1759881600000,4.139,4.241,4.063,4.194,7048183.35,3424421.82
1759968000000,4.194,4.198,3.962,4.075,7419770.28,3210958.21
1760054400000,4.074,4.291,0.633,2.946,50685534.833,23899095.5
1760140800000,2.945,3.317,2.873,2.997,33673506.59,14493345.27
1760227200000,2.997,3.307,2.907,3.241,13812032.64,6584411.2
1760313600000,3.241,3.448,3.194,3.374,14008985.74,6906621.89
1760400000000,3.375,3.399,3.066,3.248,13079428.0,5956745.99
1760486400000,3.248,3.341,3.089,3.137,8028268.55,3855124.87
1760572800000,3.137,3.208,2.97,3.016,11684100.23,5567623.09
1760659200000,3.017,3.061,2.772,2.892,14335134.66,6895065.31
1760745600000,2.892,2.971,2.889,2.932,3912674.58,1879471.52
1760832000000,2.933,3.057,2.886,3.009,5985335.93,2907540.35
1760918400000,3.009,3.132,2.949,3.086,6738711.38,3174806.33
1761004800000,3.085,3.19,2.95,3.006,8717666.16,3998797.04
1761091200000,3.005,3.028,2.834,2.918,7679721.12,3668480.27
1761177600000,2.919,3.036,2.912,3.002,5244770.87,2295028.25
1761264000000,3.003,3.125,2.992,3.078,4802271.08,2381821.01
1761350400000,3.079,3.106,3.027,3.09,2210795.91,1091324.43
1761436800000,3.091,3.239,3.059,3.195,3798617.54,1841604.86
1761523200000,3.195,3.247,3.119,3.139,5085535.81,2507308.46
1761609600000,3.138,3.195,2.992,3.051,6077354.59,2749946.97
1761696000000,3.05,3.177,3.023,3.079,5626477.7,2721425.87
1761782400000,3.08,3.118,2.78,2.871,10939988.93,5122540.54
1761868800000,2.871,2.925,2.827,2.882,5497768.43,2764966.98
1761955200000,2.882,2.974,2.865,2.971,4217933.18,1996539.34
1762041600000,2.971,3.016,2.866,2.985,4366321.14,2062399.47
1762128000000,2.985,2.993,2.5,2.585,14377248.98,7083772.39
1762214400000,2.585,2.662,2.343,2.508,16629831.45,8126173.09
1762300800000,2.508,2.685,2.384,2.672,8870378.0,4650145.34
1762387200000,2.671,2.683,2.527,2.669,9282186.59,4465664.59
1762473600000,2.669,3.34,2.664,3.254,30723299.04,14840620.48
1762560000000,3.254,3.533,3.086,3.252,23331422.94,10792432.08
1762646400000,3.252,3.31,3.037,3.232,12947626.4,6437796.15
1762732800000,3.232,3.316,3.125,3.266,13970827.39,6771325.34
1762819200000,3.267,3.387,3.041,3.054,11303001.65,5423100.45
1762905600000,3.055,3.146,2.876,2.927,9353590.68,4214374.15
1762992000000,2.928,3.045,2.763,2.853,8814259.15,3923581.67
1763078400000,2.853,2.921,2.749,2.815,10689974.59,5382000.66
1763164800000,2.815,2.949,2.813,2.832,4839072.65,2408780.29
1763251200000,2.832,2.899,2.695,2.784,5772741.72,2767272.48
1763337600000,2.785,2.867,2.627,2.666,8259234.67,4401803.31
1763424000000,2.666,2.802,2.617,2.755,7655812.28,3519514.76
1763510400000,2.755,2.767,2.569,2.692,6386470.03,3021691.76
1763596800000,2.693,2.82,2.503,2.543,9026877.87,4663618.5
1763683200000,2.543,2.593,2.252,2.348,12620524.53,6112760.15
1763769600000,2.348,2.357,2.257,2.311,5480201.78,2743694.22
1763856000000,2.311,2.37,2.248,2.258,4928467.72,2467959.93
1763942400000,2.258,2.397,2.242,2.34,7557391.45,3480524.6
1764028800000,2.34,2.349,2.176,2.296,7202523.95,3386027.63
1764115200000,2.296,2.371,2.24,2.344,5647328.47,2730455.17
1764201600000,2.344,2.39,2.308,2.337,4044236.62,1874538.66
1764288000000,2.336,2.376,2.26,2.284,4916940.56,2333019.3
1764374400000,2.284,2.298,2.227,2.259,2700560.48,1345235.51
1764460800000,2.258,2.293,2.204,2.21,2272280.97,1082549.14
1764547200000,2.209,2.209,1.961,2.042,12815413.41,6231907.72
1764633600000,2.042,2.286,2.033,2.249,8246867.07,4201929.17
1764720000000,2.25,2.4,2.241,2.366,7695403.08,3780122.57
1764806400000,2.365,2.376,2.245,2.272,6470520.84,3204792.13
1764892800000,2.272,2.308,2.084,2.125,6393803.73,3276493.79
1764979200000,2.125,2.164,2.087,2.128,3686360.78,2054549.87
1765065600000,2.128,2.16,2.04,2.094,6185412.28,3257795.19
1765152000000,2.094,2.179,2.084,2.129,7982758.73,4101417.57
