open_time,open,high,low,close,volume,taker_buy_volume
1762084800000,3.001,3.002,2.901,2.908,1137536.24,510401.54
1762099200000,2.907,2.925,2.866,2.904,1156105.09,582689.28
1762113600000,2.903,2.992,2.896,2.985,570946.74,286682.48
1762128000000,2.985,2.993,2.78,2.789,1747268.52,790902.37
1762142400000,2.789,2.825,2.725,2.768,1770650.16,836559.51
1762156800000,2.768,2.804,2.722,2.762,1729247.5,865502.52
1762171200000,2.761,2.794,2.5,2.584,4769745.7,2397848.19
1762185600000,2.584,2.669,2.563,2.579,2421153.77,1247347.13
1762200000000,2.58,2.587,2.521,2.585,1939183.33,945612.67
1762214400000,2.585,2.654,2.566,2.651,1185008.84,645781.57
1762228800000,2.651,2.662,2.506,2.533,2818988.98,1307532.71
1762243200000,2.533,2.638,2.519,2.611,1604937.42,806861.72
1762257600000,2.61,2.653,2.558,2.601,1768514.17,853747.02
1762272000000,2.6,2.62,2.418,2.457,3853831.53,1793531.81
1762286400000,2.458,2.527,2.343,2.508,5398550.51,2718718.26
1762300800000,2.508,2.576,2.384,2.569,1710547.27,842319.56
1762315200000,2.568,2.593,2.547,2.589,1185329.24,726911.37
1762329600000,2.589,2.61,2.536,2.608,1435967.47,696043.33
1762344000000,2.607,2.636,2.576,2.633,1594655.11,837949.89
1762358400000,2.634,2.655,2.6,2.643,1422030.1,742880.87
1762372800000,2.643,2.685,2.636,2.672,1521848.81,804040.32
1762387200000,2.671,2.683,2.616,2.659,1491133.53,709894.27
1762401600000,2.659,2.667,2.595,2.604,811989.72,410561.61
1762416000000,2.603,2.62,2.585,2.615,850366.6,372447.87
1762430400000,2.615,2.651,2.559,2.576,2475615.79,1180433.14
1762444800000,2.576,2.662,2.527,2.658,1996972.3,1013294.52
1762459200000,2.659,2.673,2.624,2.669,1656108.65,779033.18
1762473600000,2.669,2.864,2.664,2.797,6250279.37,3020869.12
1762488000000,2.797,2.861,2.743,2.853,2469618.44,1178691.16
1762502400000,2.854,2.858,2.745,2.786,3095093.25,1441185.29
1762516800000,2.785,2.91,2.706,2.892,3773573.17,1827717.28
1762531200000,2.892,3.34,2.881,3.264,11733787.34,5629589.24
1762545600000,3.263,3.297,3.193,3.254,3400947.47,1742568.39
1762560000000,3.254,3.533,3.191,3.371,8748243.55,4017236.7
1762574400000,3.372,3.46,3.222,3.256,4915439.84,2081202.98
1762588800000,3.256,3.318,3.209,3.277,2611422.28,1304593.57
1762603200000,3.277,3.291,3.117,3.126,3466626.07,1556895.78
1762617600000,3.126,3.231,3.086,3.162,2300121.51,1070927.43
1762632000000,3.163,3.256,3.148,3.252,1289569.69,761575.62
1762646400000,3.252,3.31,3.125,3.132,3634242.56,1819972.0
1762660800000,3.132,3.169,3.085,3.146,1519091.28,742334.67
1762675200000,3.146,3.173,3.037,3.146,1986808.67,954452.91
1762689600000,3.146,3.265,3.128,3.239,2605627.76,1291844.61
1762704000000,3.239,3.253,3.159,3.226,1985041.87,1043069.84
1762718400000,3.226,3.25,3.179,3.232,1216814.26,586122.12
1762732800000,3.232,3.273,3.201,3.258,1806591.77,812817.28
1762747200000,3.257,3.281,3.215,3.259,1813547.34,1015262.93
1762761600000,3.26,3.278,3.193,3.255,2179304.97,825467.82
1762776000000,3.255,3.316,3.159,3.171,3565927.49,1746189.9
1762790400000,3.17,3.254,3.125,3.224,3080403.39,1656964.35
1762804800000,3.224,3.306,3.194,3.266,1525052.43,714623.06
1762819200000,3.267,3.387,3.217,3.315,2814842.97,1358766.12
1762833600000,3.314,3.325,3.146,3.148,1743348.17,851655.66
1762848000000,3.148,3.2,3.138,3.167,2375713.54,1281154.99
1762862400000,3.167,3.22,3.153,3.188,1400864.18,633386.7
1762876800000,3.188,3.224,3.121,3.127,1208253.41,547689.06
1762891200000,3.127,3.135,3.041,3.054,1759979.38,750447.92
1762905600000,3.055,3.093,3.037,3.087,865004.46,454641.14
1762920000000,3.088,3.104,3.055,3.059,653893.57,345552.49
1762934400000,3.059,3.146,3.059,3.091,2004041.89,710558.08
1762948800000,3.092,3.123,2.946,2.964,3013136.02,1304551.45
1762963200000,2.963,2.972,2.876,2.901,2160206.49,1023811.44
1762977600000,2.902,2.94,2.894,2.927,657308.25,375259.55
1762992000000,2.928,3.01,2.912,2.988,801801.19,364481.32
1763006400000,2.989,3.045,2.969,2.978,986262.5,523920.8
1763020800000,2.979,3.01,2.954,2.999,909241.55,481757.79
1763035200000,3.0,3.045,2.934,2.972,1544810.2,751800.84
1763049600000,2.971,2.983,2.776,2.793,3303275.31,1221022.03
1763064000000,2.793,2.878,2.763,2.853,1268868.4,580598.89
1763078400000,2.853,2.883,2.829,2.855,1123112.24,579083.39
1763092800000,2.856,2.921,2.749,2.891,2170615.88,1014263.32
1763107200000,2.891,2.897,2.818,2.835,1384361.76,610785.4
1763121600000,2.835,2.897,2.764,2.858,2329702.5,1148731.73
1763136000000,2.859,2.896,2.841,2.884,1197416.39,595766.1
1763150400000,2.885,2.89,2.774,2.815,2484765.82,1433370.72
1763164800000,2.815,2.907,2.813,2.884,692113.09,325489.86
1763179200000,2.885,2.949,2.872,2.915,925441.55,528428.15
1763193600000,2.916,2.917,2.849,2.857,960195.3,411384.57
1763208000000,2.857,2.93,2.849,2.869,765742.16,379115.29
1763222400000,2.868,2.892,2.841,2.864,790289.6,421613.97
1763236800000,2.864,2.869,2.82,2.832,705290.95,342748.45
1763251200000,2.832,2.878,2.784,2.871,723448.85,310007.06
1763265600000,2.871,2.883,2.851,2.877,426659.0,246650.99
1763280000000,2.878,2.899,2.82,2.826,676871.53,321132.17
1763294400000,2.826,2.844,2.769,2.775,1060562.35,478072.19
1763308800000,2.775,2.796,2.695,2.74,2000404.22,974442.75
1763323200000,2.74,2.804,2.715,2.784,884795.77,436967.32
1763337600000,2.785,2.843,2.773,2.824,1149415.16,717385.25
1763352000000,2.824,2.843,2.806,2.834,547833.77,212849.72
1763366400000,2.834,2.844,2.809,2.831,1285158.43,924099.71
1763380800000,2.831,2.867,2.739,2.774,2016862.64,889547.49
1763395200000,2.774,2.798,2.641,2.652,2072138.04,1026334.32
1763409600000,2.652,2.683,2.627,2.666,1187826.63,631586.82
1763424000000,2.666,2.748,2.617,2.737,2104942.02,907057.61
1763438400000,2.738,2.764,2.7,2.725,1135744.64,552184.98
1763452800000,2.725,2.756,2.705,2.712,1785109.98,738477.55
1763467200000,2.713,2.77,2.686,2.75,1189924.18,576733.68
1763481600000,2.749,2.802,2.74,2.781,992729.15,532645.24
1763496000000,2.782,2.787,2.733,2.755,447362.31,212415.7
1763510400000,2.755,2.767,2.71,2.717,649439.94,266733.23
1763524800000,2.716,2.723,2.642,2.708,1013643.7,436242.23
1763539200000,2.708,2.731,2.691,2.705,675601.91,361135.99
1763553600000,2.704,2.738,2.641,2.646,1377146.3,630660.84
1763568000000,2.645,2.666,2.569,2.594,1540178.73,723824.8
1763582400000,2.594,2.701,2.585,2.692,1130459.45,603094.67
1763596800000,2.693,2.714,2.671,2.705,887877.77,552357.16
1763611200000,2.705,2.745,2.698,2.741,843697.93,431694.96
1763625600000,2.741,2.77,2.736,2.757,797011.24,423048.04
1763640000000,2.757,2.82,2.722,2.726,1383829.03,706333.92
1763654400000,2.725,2.727,2.503,2.554,3817350.02,1891865.0
1763668800000,2.554,2.62,2.523,2.543,1297111.88,658319.42
1763683200000,2.543,2.593,2.513,2.538,898592.32,426544.1
1763697600000,2.538,2.547,2.252,2.403,3017084.45,1444330.84
1763712000000,2.402,2.446,2.338,2.345,2633841.45,1175096.28
1763726400000,2.346,2.433,2.295,2.357,3014473.44,1537538.71
1763740800000,2.358,2.435,2.327,2.377,1479768.75,755413.63
1763755200000,2.376,2.385,2.273,2.348,1576764.12,773836.59
1763769600000,2.348,2.357,2.315,2.323,711356.17,330430.48
1763784000000,2.325,2.325,2.264,2.313,1235880.35,632158.78
1763798400000,2.312,2.321,2.274,2.316,788576.18,383156.79
1763812800000,2.315,2.315,2.257,2.288,1142105.17,528113.57
1763827200000,2.288,2.316,2.28,2.292,785367.82,427523.8
1763841600000,2.292,2.344,2.281,2.311,816916.09,442310.8
1763856000000,2.311,2.358,2.304,2.344,794901.15,448773.87
1763870400000,2.344,2.37,2.323,2.341,955771.28,490179.4
1763884800000,2.341,2.359,2.318,2.337,494666.45,210553.46
1763899200000,2.337,2.359,2.308,2.327,840382.59,426192.46
1763913600000,2.327,2.332,2.275,2.308,891885.32,423640.68
1763928000000,2.309,2.327,2.248,2.258,950860.93,468620.06
1763942400000,2.258,2.339,2.244,2.315,1454333.89,587866.43
1763956800000,2.315,2.332,2.273,2.285,1165915.5,517866.94
1763971200000,2.285,2.299,2.242,2.277,852258.38,362275.05
1763985600000,2.278,2.312,2.249,2.301,1345561.14,656213.65
1764000000000,2.3,2.371,2.3,2.359,1575630.35,818139.46
1764014400000,2.359,2.397,2.337,2.34,1163692.19,538163.07
1764028800000,2.34,2.349,2.305,2.314,714665.76,345048.91
1764043200000,2.313,2.33,2.265,2.266,903420.91,360453.74
1764057600000,2.267,2.279,2.245,2.255,1010133.95,525240.0
1764072000000,2.256,2.28,2.176,2.223,2257412.26,1072251.65
1764086400000,2.223,2.289,2.219,2.264,1455349.18,680294.25
1764100800000,2.263,2.316,2.248,2.296,861541.89,402739.08
1764115200000,2.296,2.309,2.266,2.268,546863.88,299737.28
1764129600000,2.269,2.316,2.263,2.313,800533.9,403587.91
1764144000000,2.312,2.318,2.256,2.262,890393.45,341036.15
1764158400000,2.261,2.293,2.24,2.261,1012846.95,476457.53
1764172800000,2.261,2.37,2.261,2.361,1846443.57,910682.66
1764187200000,2.362,2.371,2.339,2.344,550246.72,298953.64
1764201600000,2.344,2.36,2.316,2.317,732710.58,389493.11
1764216000000,2.316,2.342,2.315,2.329,542964.77,190319.59
1764230400000,2.329,2.353,2.317,2.329,461507.37,221164.37
1764244800000,2.329,2.351,2.308,2.348,693107.86,271313.77
1764259200000,2.348,2.385,2.345,2.38,753039.43,379487.84
1764273600000,2.38,2.39,2.33,2.337,860906.61,422759.98
1764288000000,2.336,2.346,2.293,2.317,923337.08,462996.24
1764302400000,2.318,2.325,2.301,2.317,414374.3,196691.17
