open_time,open,high,low,close,volume,taker_buy_volume
1764847800000,14.51,14.54,14.46,14.49,22572.51,8662.59
1764848700000,14.48,14.51,14.47,14.49,19306.86,8120.14
1764849600000,14.48,14.52,14.47,14.49,22933.48,7657.82
1764850500000,14.49,14.5,14.42,14.42,24645.92,5883.0
1764851400000,14.43,14.45,14.42,14.43,25135.49,9496.19
1764852300000,14.42,14.44,14.39,14.4,9163.79,3559.41
1764853200000,14.4,14.43,14.33,14.37,52592.72,31481.6
1764854100000,14.37,14.45,14.37,14.43,37395.01,16062.63
1764855000000,14.44,14.45,14.37,14.39,38134.96,19488.18
1764855900000,14.39,14.4,14.34,14.35,26211.35,9580.3
1764856800000,14.35,14.4,14.34,14.38,22422.37,10858.28
1764857700000,14.39,14.48,14.38,14.46,24871.72,14096.4
1764858600000,14.46,14.46,14.35,14.36,31491.39,12356.19
1764859500000,14.36,14.38,14.22,14.23,97840.56,41545.5
1764860400000,14.23,14.4,14.23,14.36,42785.61,24522.17
1764861300000,14.36,14.4,14.28,14.34,56568.37,17057.65
1764862200000,14.33,14.59,14.32,14.49,100248.24,65555.87
1764863100000,14.49,14.5,14.42,14.48,32671.56,15856.1
1764864000000,14.48,14.49,14.4,14.45,28376.83,12223.62
1764864900000,14.45,14.55,14.45,14.47,38541.74,24987.24
1764865800000,14.47,14.47,14.37,14.4,97495.39,19609.34
1764866700000,14.4,14.42,14.36,14.38,76585.58,28584.6
1764867600000,14.38,14.42,14.36,14.4,21472.96,9258.72
1764868500000,14.41,14.41,14.36,14.37,11054.24,4126.98
1764869400000,14.36,14.37,14.25,14.34,74871.64,18425.96
1764870300000,14.34,14.42,14.31,14.4,24881.33,9987.72
1764871200000,14.4,14.41,14.32,14.37,14883.86,4332.65
1764872100000,14.36,14.4,14.33,14.37,10046.86,4257.36
1764873000000,14.37,14.38,14.24,14.25,38155.5,11903.65
1764873900000,14.26,14.31,14.25,14.28,13837.52,6373.41
1764874800000,14.27,14.28,14.08,14.08,105113.97,33263.46
1764875700000,14.09,14.14,13.97,14.1,165939.08,63126.91
1764876600000,14.09,14.25,14.08,14.22,56088.79,37096.05
1764877500000,14.22,14.27,14.19,14.2,23916.78,12093.54
1764878400000,14.2,14.27,14.16,14.24,42496.19,24864.75
1764879300000,14.24,14.27,14.21,14.21,34823.67,16165.24
1764880200000,14.22,14.3,14.21,14.29,13233.21,9870.68
1764881100000,14.29,14.38,14.28,14.37,22561.87,11836.24
1764882000000,14.37,14.37,14.29,14.3,19463.26,11750.21
1764882900000,14.31,14.34,14.27,14.28,9370.94,3548.75
1764883800000,14.27,14.29,14.23,14.24,7669.69,4349.53
1764884700000,14.24,14.24,14.15,14.16,11575.43,4995.36
1764885600000,14.17,14.26,14.16,14.22,18928.52,10795.41
1764886500000,14.23,14.24,14.21,14.24,5222.59,2394.01
1764887400000,14.24,14.28,14.23,14.27,16163.95,10523.44
1764888300000,14.27,14.29,14.26,14.26,7589.03,2611.95
1764889200000,14.26,14.31,14.24,14.26,29652.18,8558.42
1764890100000,14.26,14.28,14.25,14.25,12942.07,5818.06
1764891000000,14.25,14.29,14.24,14.25,12120.22,7514.53
1764891900000,14.25,14.27,14.24,14.25,9390.16,4783.48
1764892800000,14.25,14.27,14.21,14.21,11413.98,4652.8
1764893700000,14.21,14.32,14.19,14.27,59808.28,38442.04
1764894600000,14.26,14.28,14.23,14.25,19023.29,7960.54
1764895500000,14.24,14.27,14.23,14.25,12096.13,4672.6
1764896400000,14.25,14.31,14.23,14.26,10706.3,6492.3
1764897300000,14.27,14.36,14.26,14.32,19578.14,11506.15
1764898200000,14.31,14.34,14.26,14.29,26838.29,13742.24
1764899100000,14.29,14.31,14.26,14.27,12561.88,3975.53
1764900000000,14.27,14.28,14.24,14.28,25176.78,11137.11
1764900900000,14.28,14.35,14.27,14.33,46650.43,13095.67
1764901800000,14.33,14.4,14.31,14.39,15886.14,8723.84
1764902700000,14.38,14.38,14.31,14.33,35789.21,23625.25
1764903600000,14.32,14.38,14.32,14.33,16338.46,9949.07
1764904500000,14.33,14.34,14.28,14.28,14442.68,3115.29
1764905400000,14.28,14.29,14.25,14.25,17332.46,3695.33
