open_time,open,high,low,close,volume,taker_buy_volume
1747008000000,17.1,17.98,16.03,16.74,6485836.98,3107520.34
1747094400000,16.74,17.81,16.03,17.39,5140765.42,2388898.38
1747180800000,17.4,17.53,16.67,17.01,3739156.87,1647980.05
1747267200000,17.02,17.21,15.69,16.04,4599640.32,2131278.99
1747353600000,16.04,16.54,15.61,15.76,3037327.69,1362993.21
1747440000000,15.76,15.79,15.07,15.32,2634568.83,1153843.62
1747526400000,15.33,16.4,14.88,15.88,4286878.87,2057302.26
1747612800000,15.88,16.01,14.84,15.78,4330819.39,2138928.28
1747699200000,15.79,16.42,15.24,15.71,4389269.1,2064962.99
1747785600000,15.71,16.49,15.52,16.1,6093462.07,2815616.78
1747872000000,16.1,16.91,16.04,16.74,4542884.36,2069480.95
1747958400000,16.74,17.16,15.42,15.53,6190632.79,2693623.69
1748044800000,15.53,15.91,15.24,15.34,2601739.54,1073366.06
1748131200000,15.34,15.56,14.86,15.54,2236117.68,1065100.26
1748217600000,15.54,15.96,15.4,15.54,2143637.24,1071488.59
1748304000000,15.54,16.13,15.15,15.91,2513450.22,1311533.05
1748390400000,15.91,16.16,15.31,15.69,2287285.42,1053493.27
1748476800000,15.69,16.19,15.0,15.05,3470428.69,1732855.81
1748563200000,15.05,15.12,13.76,13.9,6106096.75,3014026.54
1748649600000,13.89,14.19,13.39,13.97,3241877.57,1645182.48
1748736000000,13.97,14.13,13.58,14.06,1673437.42,836258.39
1748822400000,14.06,14.12,13.59,14.07,1803670.48,796376.93
1748908800000,14.08,14.45,13.98,14.11,2397370.67,1019148.52
1748995200000,14.12,14.48,13.7,13.83,1698210.37,817738.18
1749081600000,13.84,14.04,12.64,12.89,4325191.79,2006038.56
1749168000000,12.89,13.69,12.82,13.56,2892254.8,1481684.12
1749254400000,13.57,14.08,13.48,13.83,1796907.09,881530.44
1749340800000,13.82,13.98,13.55,13.73,1301631.33,646715.35
1749427200000,13.73,14.4,13.54,14.36,2139591.17,1116755.6
1749513600000,14.36,15.53,14.32,15.45,4610246.8,2433977.22
1749600000000,15.45,15.66,14.77,14.89,4342696.57,2031491.15
1749686400000,14.89,14.93,13.83,13.97,3957934.78,1982674.69
1749772800000,13.98,13.99,12.75,13.44,6529679.32,3300709.71
1749859200000,13.45,13.46,12.83,13.15,1849077.29,881269.73
1749945600000,13.16,13.33,13.0,13.3,1457954.35,773749.56
1750032000000,13.3,14.17,13.17,13.56,2758548.76,1262041.32
1750118400000,13.57,13.79,12.8,12.99,3726610.19,1795916.01
1750204800000,13.0,13.23,12.63,13.11,2573912.22,1277307.96
1750291200000,13.12,13.38,12.91,13.07,1851285.83,947546.09
1750377600000,13.07,13.29,12.3,12.51,2738596.05,1305675.86
1750464000000,12.51,12.75,11.69,12.03,2605780.15,1211458.8
1750550400000,12.03,12.2,10.94,11.65,5918789.6,2936309.49
