open_time,open,high,low,close,volume,taker_buy_volume
1764331200000,13.3,13.35,13.28,13.3,32129.54,17074.4
1764334800000,13.3,13.51,13.25,13.46,96492.21,41156.91
1764338400000,13.46,13.53,13.34,13.41,155829.26,69209.06
1764342000000,13.41,13.49,13.35,13.42,113893.94,62083.66
1764345600000,13.43,13.43,13.16,13.18,110266.59,47441.77
1764349200000,13.19,13.21,13.04,13.11,194092.94,83224.74
1764352800000,13.12,13.16,13.04,13.13,98926.87,50871.72
1764356400000,13.13,13.23,13.11,13.21,60588.21,37645.96
1764360000000,13.21,13.21,13.12,13.2,62053.7,30045.42
1764363600000,13.2,13.22,13.1,13.11,110249.01,32243.59
1764367200000,13.11,13.21,13.07,13.18,102088.1,69558.56
1764370800000,13.19,13.22,13.12,13.13,28691.59,15427.44
1764374400000,13.12,13.16,13.09,13.13,86903.16,45479.86
1764378000000,13.14,13.21,13.13,13.15,30486.74,19536.78
1764381600000,13.15,13.17,13.09,13.12,33946.09,13908.16
1764385200000,13.11,13.12,13.05,13.08,54303.5,31525.55
1764388800000,13.08,13.16,13.04,13.14,201553.27,149876.36
1764392400000,13.15,13.15,13.08,13.09,26635.93,11188.6
1764396000000,13.08,13.12,12.98,13.07,140222.35,57925.41
1764399600000,13.07,13.16,13.06,13.1,75093.55,41957.53
1764403200000,13.09,13.13,13.04,13.07,68364.19,25548.16
1764406800000,13.06,13.08,13.03,13.08,69212.04,32223.14
1764410400000,13.07,13.15,13.02,13.13,43161.58,22415.21
1764414000000,13.12,13.17,13.09,13.15,27279.07,16168.61
1764417600000,13.16,13.17,13.08,13.09,17188.33,8320.58
1764421200000,13.09,13.15,13.07,13.09,26552.53,10269.79
1764424800000,13.09,13.13,13.04,13.09,62608.66,37605.16
1764428400000,13.1,13.22,13.09,13.17,53254.7,32906.75
1764432000000,13.17,13.18,13.1,13.13,39093.44,24088.94
1764435600000,13.13,13.14,12.98,12.99,80804.54,27259.24
1764439200000,13.0,13.05,12.91,13.04,99331.21,49445.83
1764442800000,13.04,13.05,12.99,13.02,33739.27,12253.99
1764446400000,13.03,13.06,12.97,13.05,24298.0,11344.02
1764450000000,13.05,13.05,12.99,13.03,26905.61,15062.5
1764453600000,13.03,13.03,12.96,12.97,42020.48,12714.04
1764457200000,12.98,13.03,12.95,12.99,53139.75,33157.17
1764460800000,12.99,13.04,12.97,13.01,34322.45,13719.42
1764464400000,13.01,13.1,13.0,13.07,25969.47,12601.23
1764468000000,13.06,13.12,13.01,13.02,25099.07,9919.13
1764471600000,13.02,13.11,12.94,13.11,58577.4,32783.78
1764475200000,13.11,13.11,13.03,13.06,30517.57,15297.23
1764478800000,13.05,13.06,12.98,12.99,27434.29,8399.59
1764482400000,13.0,13.08,12.98,13.01,35434.93,13206.55
1764486000000,13.01,13.07,12.99,13.05,82554.9,60048.64
1764489600000,13.05,13.12,12.99,13.04,64626.23,22372.28
1764493200000,13.03,13.11,13.02,13.09,60368.64,29473.59
