open_time,open,high,low,close,volume,taker_buy_volume
1764847800000,1.866,1.869,1.856,1.857,93524.9,30052.6
1764848700000,1.857,1.866,1.853,1.863,117344.3,60704.1
1764849600000,1.863,1.869,1.861,1.864,104620.0,49717.3
1764850500000,1.864,1.865,1.854,1.854,60073.9,18570.9
1764851400000,1.855,1.866,1.854,1.862,54954.7,35678.4
1764852300000,1.862,1.864,1.857,1.858,34722.2,14437.9
1764853200000,1.858,1.86,1.845,1.847,201783.1,68091.6
1764854100000,1.847,1.855,1.847,1.85,89580.5,40379.2
1764855000000,1.85,1.851,1.838,1.838,189439.6,72444.3
1764855900000,1.838,1.84,1.832,1.835,126917.9,56747.4
1764856800000,1.834,1.843,1.833,1.84,80773.3,40633.4
1764857700000,1.84,1.848,1.838,1.848,74044.5,41721.0
1764858600000,1.848,1.848,1.827,1.839,363305.0,147215.1
1764859500000,1.838,1.841,1.819,1.822,404972.0,195889.4
1764860400000,1.821,1.838,1.821,1.837,188085.6,104950.4
1764861300000,1.837,1.837,1.818,1.826,174199.0,76386.4
1764862200000,1.825,1.853,1.816,1.839,380783.8,205157.5
1764863100000,1.839,1.84,1.829,1.835,115056.2,50916.7
1764864000000,1.834,1.835,1.82,1.827,200320.4,96192.9
1764864900000,1.826,1.839,1.826,1.829,215178.7,118218.3
1764865800000,1.828,1.829,1.815,1.817,205063.0,78077.3
1764866700000,1.818,1.822,1.812,1.814,136494.7,55827.9
1764867600000,1.814,1.816,1.807,1.812,120046.2,63022.5
1764868500000,1.813,1.814,1.804,1.804,87866.8,35281.9
1764869400000,1.804,1.808,1.793,1.801,217797.1,112107.2
1764870300000,1.8,1.809,1.796,1.807,148714.3,80954.1
1764871200000,1.807,1.809,1.802,1.804,122395.2,62538.0
1764872100000,1.804,1.81,1.799,1.809,122057.5,77663.1
1764873000000,1.808,1.808,1.789,1.792,98189.1,32462.5
1764873900000,1.792,1.795,1.789,1.792,136309.4,61882.0
1764874800000,1.793,1.793,1.767,1.768,183435.1,82042.0
1764875700000,1.768,1.773,1.747,1.767,654982.6,313495.5
1764876600000,1.767,1.787,1.764,1.786,451030.7,195774.7
1764877500000,1.786,1.794,1.783,1.79,123679.8,74233.5
1764878400000,1.789,1.794,1.777,1.785,161514.7,70978.6
1764879300000,1.785,1.791,1.783,1.784,72598.1,41202.1
1764880200000,1.784,1.796,1.784,1.796,93099.0,53734.6
1764881100000,1.796,1.807,1.795,1.806,148248.3,69399.3
1764882000000,1.805,1.81,1.803,1.804,71267.7,40700.4
