open_time,open,high,low,close,volume,taker_buy_volume
1764331200000,1.898,1.905,1.891,1.897,210567.6,116660.6
1764334800000,1.897,1.93,1.889,1.922,552445.1,361340.1
1764338400000,1.922,1.929,1.908,1.926,807615.0,407233.8
1764342000000,1.926,1.956,1.92,1.933,922972.7,521496.5
1764345600000,1.934,1.937,1.892,1.894,825304.9,364854.7
1764349200000,1.894,1.898,1.87,1.877,876484.8,366624.0
1764352800000,1.878,1.881,1.85,1.872,683628.5,281423.3
1764356400000,1.873,1.897,1.87,1.888,359847.2,208635.3
1764360000000,1.887,1.887,1.871,1.884,252054.5,114313.2
1764363600000,1.884,1.887,1.868,1.869,215797.9,104983.3
1764367200000,1.868,1.885,1.864,1.884,358637.7,157735.8
1764370800000,1.884,1.89,1.876,1.879,262012.0,120872.5
1764374400000,1.879,1.879,1.865,1.875,275610.8,126469.0
1764378000000,1.876,1.886,1.872,1.875,154659.3,74080.3
1764381600000,1.875,1.88,1.868,1.875,131662.5,66880.3
1764385200000,1.875,1.884,1.873,1.879,201008.7,106552.6
1764388800000,1.878,1.899,1.875,1.896,310815.1,215099.7
1764392400000,1.895,1.905,1.89,1.892,295257.9,149320.6
1764396000000,1.892,1.897,1.874,1.883,358594.8,124607.5
1764399600000,1.883,1.889,1.87,1.873,185402.8,76812.6
1764403200000,1.872,1.88,1.867,1.872,191447.7,74819.3
1764406800000,1.872,1.88,1.87,1.879,205377.1,104924.5
1764410400000,1.878,1.89,1.871,1.886,374419.6,167104.3
1764414000000,1.886,1.897,1.884,1.891,229451.6,84426.6
1764417600000,1.89,1.892,1.871,1.877,289952.4,133261.4
1764421200000,1.877,1.884,1.875,1.877,181473.9,89242.8
1764424800000,1.876,1.877,1.86,1.863,385918.1,174839.1
1764428400000,1.863,1.883,1.862,1.877,315027.6,185023.7
1764432000000,1.877,1.879,1.864,1.87,310722.4,146799.8
1764435600000,1.87,1.872,1.842,1.848,488278.6,181916.9
1764439200000,1.848,1.852,1.831,1.846,727221.4,282602.9
1764442800000,1.845,1.853,1.841,1.844,283595.8,104950.3
1764446400000,1.844,1.853,1.837,1.852,157942.9,74887.9
1764450000000,1.852,1.852,1.843,1.847,149617.4,66566.7
1764453600000,1.846,1.853,1.842,1.847,185011.7,118011.2
1764457200000,1.847,1.856,1.84,1.851,107915.0,58955.9
1764460800000,1.851,1.857,1.849,1.851,131450.1,74148.2
1764464400000,1.851,1.86,1.851,1.858,170004.2,98331.0
1764468000000,1.858,1.866,1.85,1.85,200214.9,73614.8
1764471600000,1.85,1.856,1.826,1.854,473373.5,213413.2
1764475200000,1.855,1.859,1.846,1.85,143289.0,72538.1
1764478800000,1.85,1.851,1.836,1.841,156509.2,78164.1
1764482400000,1.841,1.858,1.837,1.847,153371.0,75320.2
1764486000000,1.847,1.854,1.845,1.851,197826.5,102446.2
1764489600000,1.851,1.861,1.841,1.846,337717.8,167588.4
1764493200000,1.846,1.854,1.843,1.852,238450.7,148833.5
1764496800000,1.852,1.858,1.842,1.845,200637.0,111081.5
1764500400000,1.845,1.849,1.835,1.836,131622.9,66522.4
1764504000000,1.836,1.856,1.826,1.849,303743.3,161179.3
1764507600000,1.849,1.866,1.846,1.863,599590.5,362511.6
1764511200000,1.863,1.865,1.838,1.845,438260.8,231454.6
1764514800000,1.844,1.848,1.833,1.844,279657.9,154702.2
1764518400000,1.844,1.869,1.844,1.863,313691.9,214516.9
1764522000000,1.863,1.869,1.849,1.865,351724.6,222050.7
1764525600000,1.865,1.867,1.85,1.858,371400.7,167435.4
1764529200000,1.858,1.862,1.85,1.857,331350.6,205890.4
1764532800000,1.856,1.868,1.85,1.858,340359.1,155689.9
1764536400000,1.858,1.86,1.844,1.85,203917.7,93126.0
1764540000000,1.851,1.862,1.848,1.859,139971.3,77814.4
1764543600000,1.859,1.859,1.803,1.805,1002986.8,401853.5
1764547200000,1.805,1.812,1.697,1.701,3619301.4,1643302.7
1764550800000,1.701,1.73,1.691,1.695,1130673.8,612632.3
1764554400000,1.695,1.716,1.693,1.701,989699.5,508301.7
1764558000000,1.7,1.701,1.669,1.674,1337966.2,657692.9
1764561600000,1.674,1.683,1.66,1.666,745481.5,393986.1
1764565200000,1.666,1.68,1.664,1.671,518421.8,306238.9
1764568800000,1.671,1.677,1.667,1.667,364793.4,166007.5
1764572400000,1.668,1.67,1.648,1.666,1122730.7,509121.9
1764576000000,1.665,1.673,1.657,1.667,482153.5,260333.2
1764579600000,1.666,1.673,1.656,1.659,520774.8,281908.1
1764583200000,1.659,1.664,1.652,1.655,230956.7,127139.2
1764586800000,1.655,1.657,1.628,1.634,1072018.9,420124.6
1764590400000,1.634,1.637,1.596,1.629,1437497.3,576652.6
1764594000000,1.628,1.64,1.609,1.615,757654.4,415929.9
1764597600000,1.616,1.64,1.611,1.617,704483.1,349475.2
1764601200000,1.618,1.621,1.584,1.615,1565057.2,733981.0
1764604800000,1.616,1.622,1.602,1.605,753704.3,404472.6
1764608400000,1.604,1.618,1.594,1.601,527269.8,262208.9
1764612000000,1.602,1.617,1.599,1.615,699235.1,435652.6
1764615600000,1.615,1.617,1.6,1.604,566228.5,248273.5
1764619200000,1.605,1.626,1.605,1.62,536296.1,271642.0
1764622800000,1.621,1.637,1.618,1.63,784722.9,399889.5
1764626400000,1.63,1.641,1.625,1.633,481273.2,236441.2
1764630000000,1.633,1.64,1.625,1.627,399033.2,158702.5
1764633600000,1.626,1.634,1.624,1.628,221620.8,107648.0
1764637200000,1.627,1.652,1.627,1.638,542697.9,300201.2
1764640800000,1.638,1.654,1.633,1.646,472099.5,222470.3
1764644400000,1.645,1.662,1.634,1.657,589807.1,341129.1
1764648000000,1.658,1.671,1.651,1.656,564392.7,280504.9
1764651600000,1.655,1.665,1.653,1.661,277421.4,125794.1
1764655200000,1.661,1.68,1.654,1.675,301589.0,141504.5
1764658800000,1.675,1.684,1.666,1.682,1044968.0,585343.1
1764662400000,1.682,1.691,1.667,1.682,1128977.1,483837.6
1764666000000,1.683,1.706,1.679,1.697,1022898.8,594718.6
1764669600000,1.698,1.714,1.684,1.7,857760.9,432606.7
1764673200000,1.7,1.727,1.699,1.722,505205.7,291646.0
1764676800000,1.722,1.75,1.722,1.748,1461941.6,823874.5
1764680400000,1.749,1.773,1.731,1.737,1711554.5,776180.5
1764684000000,1.737,1.759,1.736,1.753,1142894.0,576587.1
1764687600000,1.753,1.835,1.751,1.822,1850090.7,1032950.6
1764691200000,1.822,1.83,1.798,1.804,1543626.9,716853.5
1764694800000,1.803,1.828,1.802,1.824,1179103.4,722878.0
1764698400000,1.824,1.831,1.813,1.817,425304.6,202224.1
1764702000000,1.818,1.823,1.805,1.806,511227.6,166343.2
1764705600000,1.806,1.808,1.788,1.801,757016.3,346140.9
1764709200000,1.801,1.806,1.787,1.806,393165.1,186530.8
1764712800000,1.806,1.826,1.805,1.819,288917.6,144565.9
1764716400000,1.818,1.818,1.796,1.804,328542.5,131366.7
1764720000000,1.803,1.81,1.789,1.794,616346.3,310290.0
1764723600000,1.793,1.804,1.788,1.798,442130.0,210371.7
1764727200000,1.797,1.814,1.795,1.81,1056017.5,675647.5
1764730800000,1.81,1.825,1.81,1.816,511430.4,293938.8
1764734400000,1.816,1.826,1.804,1.821,1674381.9,441820.1
1764738000000,1.821,1.83,1.815,1.823,563212.6,324090.6
1764741600000,1.824,1.849,1.816,1.823,829155.9,419880.6
