open_time,open,high,low,close,volume,taker_buy_volume
1764847800000,143.32,143.5,142.7,142.91,33238.995,14035.836
1764848700000,142.91,143.17,142.75,143.06,16796.766,9841.385
1764849600000,143.05,143.5,143.03,143.13,16433.553,10786.593
1764850500000,143.12,143.22,142.4,142.53,29742.693,10790.444
1764851400000,142.53,143.36,142.52,143.08,20041.172,11346.01
1764852300000,143.08,143.21,142.75,142.88,12035.552,6664.813
1764853200000,142.88,143.12,142.27,142.32,33423.926,16629.439
1764854100000,142.33,143.18,142.33,142.85,23772.119,14474.571
1764855000000,142.85,143.07,142.27,142.29,33962.126,22067.486
1764855900000,142.3,142.48,141.79,142.23,61615.428,23520.504
1764856800000,142.23,142.78,142.14,142.59,17708.003,7491.223
1764857700000,142.59,143.03,142.45,142.92,22921.016,13064.283
1764858600000,142.93,143.34,142.27,142.68,53330.479,28509.908
1764859500000,142.68,142.9,141.44,141.82,74548.922,24944.126
1764860400000,141.81,143.27,141.78,143.07,59325.98,31368.789
1764861300000,143.07,143.3,142.16,142.52,65616.779,28800.348
1764862200000,142.52,144.26,142.35,143.4,73434.794,48960.291
1764863100000,143.4,143.44,142.77,143.21,35507.843,16571.221
1764864000000,143.2,143.34,142.35,142.86,27954.572,18427.319
1764864900000,142.85,143.85,142.79,143.06,26444.182,16479.803
1764865800000,143.05,143.17,142.4,142.54,44721.4,14906.157
1764866700000,142.54,142.91,142.25,142.62,22234.076,10364.319
1764867600000,142.62,142.81,142.01,142.32,12950.296,4657.501
1764868500000,142.32,142.42,141.89,141.89,40105.235,15686.467
1764869400000,141.89,142.1,141.11,141.42,44662.232,24050.991
1764870300000,141.43,142.35,141.25,142.14,22385.111,12286.739
1764871200000,142.14,142.22,141.41,141.9,18216.096,5834.51
1764872100000,141.9,142.22,141.51,142.06,12207.492,5309.514
1764873000000,142.05,142.11,140.79,140.9,33020.94,8273.575
1764873900000,140.9,141.0,140.32,140.75,42061.422,20240.934
1764874800000,140.75,140.87,138.91,138.97,73108.835,19319.912
1764875700000,138.98,139.32,137.8,138.81,134535.246,61485.732
1764876600000,138.8,139.79,138.62,139.63,56470.198,39319.057
1764877500000,139.63,140.04,139.5,139.67,26267.232,17219.295
1764878400000,139.66,140.0,139.2,139.6,28003.486,11185.639
1764879300000,139.6,139.87,139.18,139.39,14341.241,7317.925
1764880200000,139.38,139.9,139.3,139.8,30654.66,21625.616
1764881100000,139.8,140.5,139.8,140.37,31406.923,15229.053
1764882000000,140.38,140.43,139.83,140.08,32456.72,12717.895
1764882900000,140.08,140.36,139.64,139.65,19385.651,5786.508
1764883800000,139.65,139.93,139.45,139.52,15001.607,6948.027
1764884700000,139.51,139.51,138.5,138.72,41180.531,19095.816
1764885600000,138.72,139.3,138.72,139.1,26907.747,17189.384
1764886500000,139.1,139.43,138.97,139.24,26840.866,20527.952
1764887400000,139.24,139.77,139.24,139.64,16487.509,7534.454
1764888300000,139.64,139.78,139.36,139.39,10682.375,4608.871
1764889200000,139.39,139.43,139.0,139.11,16571.897,8643.012
1764890100000,139.11,139.2,138.99,139.05,9188.674,4641.485
1764891000000,139.05,139.2,138.7,138.97,15199.379,8855.723
1764891900000,138.97,139.06,138.86,139.01,9501.296,6215.14
1764892800000,139.01,139.27,138.9,138.93,19518.071,11167.961
1764893700000,138.94,139.72,138.92,139.39,18389.084,9940.553
1764894600000,139.39,139.61,139.24,139.55,16308.875,7141.722
1764895500000,139.54,139.55,139.11,139.24,17842.67,5374.573
1764896400000,139.24,139.84,139.14,139.3,20941.336,8846.323
1764897300000,139.29,140.2,139.28,139.93,17147.296,10813.884
1764898200000,139.92,140.01,139.59,139.88,25723.196,14440.672
1764899100000,139.88,140.15,139.75,139.82,16126.687,6540.451
1764900000000,139.83,139.83,139.25,139.53,31110.475,13665.468
1764900900000,139.52,139.85,139.51,139.72,21247.28,9779.304
1764901800000,139.71,140.15,139.63,140.07,21340.233,12183.086
1764902700000,140.07,140.07,139.68,139.81,27903.469,6871.447
1764903600000,139.8,140.18,139.72,139.93,15480.739,8991.542
1764904500000,139.94,140.05,138.89,139.02,37167.793,12051.179
1764905400000,139.02,139.05,138.61,138.66,21766.928,11127.468
1764906300000,138.65,138.86,138.3,138.56,29977.687,12152.418
1764907200000,138.55,139.14,138.52,139.01,12534.108,6520.948
1764908100000,139.0,139.08,138.65,138.7,9465.78,4885.675
1764909000000,138.69,138.7,138.07,138.18,30285.551,9777.117
1764909900000,138.18,138.67,138.1,138.52,45342.624,29927.66
1764910800000,138.52,138.74,138.39,138.41,17852.8,8455.801
1764911700000,138.4,138.53,137.77,138.13,33027.04,12522.88
1764912600000,138.12,138.17,137.9,138.07,28871.44,18776.393
1764913500000,138.07,138.1,137.85,138.04,14422.177,5852.234
1764914400000,138.05,138.65,138.03,138.52,18246.868,11724.239
1764915300000,138.52,138.74,138.4,138.63,9025.415,4310.114
1764916200000,138.64,138.96,138.38,138.74,9564.236,4215.118
1764917100000,138.74,139.0,138.65,138.89,23199.072,12423.771
1764918000000,138.9,140.75,138.77,140.09,84683.797,57415.205
1764918900000,140.09,140.43,139.98,140.26,36902.83,20041.703
1764919800000,140.27,140.42,139.63,139.79,22742.28,9558.846
1764920700000,139.79,139.84,139.47,139.68,17354.033,6140.223
1764921600000,139.67,139.67,138.15,138.31,45999.822,20305.461
1764922500000,138.3,138.62,138.12,138.44,20634.134,11905.621
1764923400000,138.44,138.45,137.81,138.06,35139.306,15451.672
1764924300000,138.06,138.25,137.92,138.19,33803.263,24184.673
1764925200000,138.2,138.27,137.37,137.9,59294.616,27893.914
1764926100000,137.91,137.92,136.58,136.84,88800.879,33682.278
1764927000000,136.83,136.98,136.37,136.63,49434.9,29493.87
1764927900000,136.62,136.73,136.28,136.34,32455.552,23431.068
1764928800000,136.34,137.1,136.13,137.05,55482.413,37185.99
1764929700000,137.05,137.91,136.87,137.61,44501.485,28942.264
1764930600000,137.6,137.98,137.54,137.9,25053.644,13845.706
1764931500000,137.91,137.91,137.44,137.71,22010.266,6141.639
1764932400000,137.71,138.09,137.56,137.87,25324.769,13790.399
1764933300000,137.87,137.9,137.33,137.47,19464.94,6935.139
1764934200000,137.46,137.46,136.87,137.01,29933.854,16490.228
1764935100000,137.02,137.37,136.89,137.02,26024.487,16571.888
1764936000000,137.01,137.01,135.21,136.72,111731.824,35714.312
1764936900000,136.72,136.99,136.54,136.77,26763.284,16031.184
1764937800000,136.76,137.14,136.51,136.77,24154.971,13822.251
1764938700000,136.76,136.95,136.56,136.67,16678.069,9185.118
1764939600000,136.67,137.06,136.08,136.59,36273.612,16839.6
1764940500000,136.58,136.87,136.39,136.86,20286.287,7203.904
1764941400000,136.87,136.94,135.8,136.05,48208.005,21385.454
1764942300000,136.04,136.48,135.77,135.94,38489.137,17374.577
1764943200000,135.94,136.31,135.66,135.84,36870.806,16419.207
1764944100000,135.84,135.91,135.34,135.63,20881.96,8680.204
1764945000000,135.62,136.13,134.54,134.87,83990.18,28312.006
1764945900000,134.88,135.25,134.41,134.74,46884.638,23759.231
1764946800000,134.73,137.2,134.7,135.79,135233.511,80189.199
1764947700000,135.79,136.07,135.33,135.96,67915.436,30626.41
1764948600000,135.96,136.61,135.5,135.74,41126.848,21389.036
1764949500000,135.73,135.74,134.63,135.05,46259.117,19575.723
1764950400000,135.04,135.2,133.23,133.7,108256.38,43890.946
1764951300000,133.7,134.15,133.13,133.42,84481.472,53524.413
1764952200000,133.41,133.42,131.46,131.72,129735.636,62317.664
1764953100000,131.72,132.68,131.18,132.2,93969.388,57136.877
1764954000000,132.2,132.73,131.97,132.0,52309.39,33492.798
1764954900000,131.99,132.38,131.5,131.78,37329.89,22306.322
1764955800000,131.78,132.08,131.11,131.86,54981.992,22770.697
1764956700000,131.85,132.73,131.72,132.16,44062.307,28993.86
1764957600000,132.16,133.03,131.71,132.56,47484.094,30187.199
1764958500000,132.56,132.82,131.77,132.13,33102.395,15886.224
1764959400000,132.14,132.31,131.37,131.42,28292.9,9197.025
1764960300000,131.43,131.65,131.17,131.35,22043.499,9300.855
1764961200000,131.36,131.71,130.73,131.63,50715.131,24490.564
1764962100000,131.63,132.41,131.54,132.28,45087.119,33325.859
1764963000000,132.27,132.65,132.12,132.42,20059.168,10456.521
1764963900000,132.41,133.04,132.21,132.5,31886.402,22537.626
1764964800000,132.49,132.62,131.96,132.4,23112.764,9124.157
1764965700000,132.41,132.9,132.28,132.43,32519.104,13015.924
1764966600000,132.43,132.53,132.18,132.25,13871.183,4807.108
1764967500000,132.25,132.67,132.15,132.56,34394.241,26165.626
1764968400000,132.57,132.84,132.4,132.8,24925.705,17483.385
1764969300000,132.8,132.95,132.68,132.84,31828.403,9035.586
1764970200000,132.84,133.16,132.33,132.34,31952.186,16594.874
1764971100000,132.33,132.5,132.0,132.4,17414.024,7528.336
1764972000000,132.4,132.49,132.11,132.22,15760.357,6287.652
1764972900000,132.22,132.74,132.21,132.72,6957.499,4390.25
1764973800000,132.73,132.76,132.37,132.67,7647.682,3791.906
1764974700000,132.67,132.86,132.61,132.72,6827.071,4494.97
1764975600000,132.72,132.74,132.27,132.48,10311.929,5595.335
1764976500000,132.49,132.96,132.49,132.93,7916.967,5724.629
