open_time,open,high,low,close,volume,taker_buy_volume
1747008000000,173.2,181.46,168.31,174.22,6245732.977,3195519.92
1747094400000,174.22,184.83,166.18,183.75,4587043.398,2392971.082
1747180800000,183.75,184.88,173.23,176.64,3619155.253,1741723.781
1747267200000,176.63,178.33,166.7,169.16,3546037.724,1722279.871
1747353600000,169.16,174.21,166.36,167.4,2766386.671,1376002.437
1747440000000,167.4,169.99,164.01,165.94,2262121.706,1080208.305
1747526400000,165.94,176.77,164.54,173.3,3194610.936,1562344.275
1747612800000,173.3,173.94,159.44,166.86,4076352.744,1997596.61
1747699200000,166.87,173.11,164.51,168.59,3135420.426,1631797.992
1747785600000,168.59,175.99,165.51,173.53,4400610.4,2237048.506
1747872000000,173.54,180.87,172.59,179.68,3608222.862,1861260.289
1747958400000,179.68,187.71,173.23,174.01,6112910.776,3014089.21
1748044800000,174.0,178.33,172.5,175.87,2317965.021,1147565.436
1748131200000,175.87,176.88,169.14,175.74,2530363.859,1157707.099
1748217600000,175.75,179.02,173.48,174.91,2214724.796,1102540.284
1748304000000,174.92,179.41,171.24,176.71,2568509.368,1268542.603
1748390400000,176.72,177.45,168.92,172.21,2534660.877,1228729.526
1748476800000,172.22,175.34,165.96,166.71,2641789.968,1211340.594
1748563200000,166.71,167.51,155.22,156.2,3770279.512,1731428.499
1748649600000,156.2,158.01,152.14,156.45,2352257.752,1168138.33
1748736000000,156.45,157.92,150.59,157.68,2042131.041,984162.634
1748822400000,157.68,158.93,151.67,156.83,2502052.191,1206939.389
1748908800000,156.83,163.64,154.14,155.19,2849585.145,1394890.747
1748995200000,155.19,157.97,152.94,153.26,1990646.424,967100.121
1749081600000,153.27,154.61,141.53,144.29,4258041.075,1973621.218
1749168000000,144.28,152.39,144.11,147.83,2167791.114,1095613.518
1749254400000,147.82,152.84,146.84,150.06,1408204.615,706661.864
1749340800000,150.07,155.3,147.88,152.45,1564000.366,807104.977
1749427200000,152.45,161.73,149.58,161.16,3079728.265,1563931.278
1749513600000,161.16,165.67,156.32,165.12,3589559.163,1837931.503
1749600000000,165.12,168.36,159.21,160.97,4019424.999,2037677.818
1749686400000,160.98,161.28,152.02,152.32,2883476.685,1329546.823
1749772800000,152.32,152.59,140.21,148.6,5339782.783,2611663.066
1749859200000,148.6,148.7,141.97,144.64,1679994.751,748132.518
1749945600000,144.65,153.54,144.22,152.97,2831999.616,1510013.639
1750032000000,152.97,158.8,150.3,150.72,3573196.785,1710413.995
1750118400000,150.73,154.33,145.61,147.57,3395648.859,1652493.635
1750204800000,147.58,149.28,143.65,146.34,2800908.98,1250275.581
1750291200000,146.35,147.9,142.92,147.04,2285335.729,1051371.239
1750377600000,147.04,148.81,135.69,140.11,3393327.209,1619395.926
1750464000000,140.11,142.6,130.9,135.43,2826424.143,1247419.119
1750550400000,135.43,137.62,126.0,131.71,4252120.023,2157850.271
1750636800000,131.71,146.92,130.68,144.51,4573147.667,2308159.703
1750723200000,144.51,146.77,142.31,145.92,2741809.086,1338053.836
1750809600000,145.93,147.95,142.25,143.57,2233601.909,1064706.761
1750896000000,143.57,148.0,138.62,139.06,2522507.942,1254831.861
1750982400000,139.05,144.85,137.14,142.09,2471847.15,1235243.064
1751068800000,142.09,152.7,141.13,150.72,2657836.682,1441145.38
1751155200000,150.73,154.77,149.36,153.32,2150026.172,1069715.88
1751241600000,153.32,159.99,149.45,154.81,3871390.335,1903822.621
1751328000000,154.82,155.64,144.85,146.88,2770862.174,1228896.958
1751414400000,146.87,154.47,145.85,152.27,2652574.279,1403036.358
1751500800000,152.28,156.35,149.86,152.36,2686218.205,1342711.364
1751587200000,152.35,153.88,145.22,147.7,2308086.736,1110928.112
1751673600000,147.69,148.7,145.9,147.55,1173963.86,569246.625
1751760000000,147.55,153.89,146.78,151.86,2486859.718,1322569.682
1751846400000,151.86,153.6,147.7,148.88,2174727.723,1081618.682
1751932800000,148.89,152.88,147.85,151.67,2712869.323,1323396.462
1752019200000,151.68,157.93,150.53,157.05,2907219.748,1458063.011
1752105600000,157.06,165.43,155.64,164.34,3428382.349,1771939.544
1752192000000,164.33,168.2,159.54,162.93,4354179.713,2146111.803
1752278400000,162.92,163.9,157.74,160.69,2043211.942,957496.965
1752364800000,160.7,164.19,159.63,161.15,1929745.851,975214.609
1752451200000,161.15,168.65,160.61,162.21,3973706.533,1963545.222
1752537600000,162.21,164.26,157.23,163.98,3665295.753,1674597.467
1752624000000,163.98,176.0,161.51,173.63,5020288.123,2464594.231
1752710400000,173.62,178.19,168.71,175.87,4491555.727,2365477.212
1752796800000,175.88,184.67,173.24,177.28,5191853.168,2624942.86
1752883200000,177.28,178.61,174.0,176.96,2059315.008,1036823.317
1752969600000,176.97,183.66,176.33,181.43,3694854.915,1889162.622
1753056000000,181.44,199.28,178.25,195.72,6495907.179,3434139.851
1753142400000,195.72,206.3,193.75,205.7,8635627.173,4435809.133
1753228800000,205.7,205.75,183.97,189.4,5548137.499,2437731.741
1753315200000,189.4,191.87,179.21,182.87,5217064.871,2440710.093
1753401600000,182.88,186.85,175.63,186.76,4481310.44,2252207.36
1753488000000,186.75,189.78,184.29,184.88,1773453.875,829262.086
1753574400000,184.89,190.7,184.53,188.64,2233060.133,1136211.858
1753660800000,188.64,195.26,182.16,183.11,4067872.127,1867599.889
1753747200000,183.1,186.68,178.3,181.48,2541912.036,1147045.365
1753833600000,181.47,182.56,170.29,177.77,3297250.187,1509983.039
1753920000000,177.77,182.7,171.44,172.22,2624841.783,1277197.651
1754006400000,172.22,172.26,159.2,162.71,4317529.315,2013722.779
1754092800000,162.71,165.3,155.83,158.48,2208175.075,1053805.603
1754179200000,158.49,163.14,156.28,161.97,2297909.311,1177583.149
1754265600000,161.98,169.8,161.26,169.55,2688954.158,1399725.476
1754352000000,169.55,171.73,161.3,164.09,2554958.009,1214761.197
1754438400000,164.09,169.93,161.13,168.09,1797491.429,892897.841
1754524800000,168.1,175.51,166.7,175.36,3014662.995,1594771.854
1754611200000,175.37,179.66,173.43,176.78,3678790.655,1897301.456
1754697600000,176.79,183.45,176.64,179.95,3325504.387,1624627.414
1754784000000,179.96,186.18,177.51,182.66,4197287.287,2055263.249
1754870400000,182.67,186.8,173.43,174.84,3960743.531,1858871.315
1754956800000,174.83,193.76,173.6,191.78,5074348.157,2662524.995
1755043200000,191.77,204.96,191.48,201.51,7148726.279,3533760.444
1755129600000,201.51,209.86,186.68,192.47,8965607.314,4255318.34
1755216000000,192.46,198.07,183.3,185.72,4360287.396,2216480.357
1755302400000,185.71,190.06,185.2,189.6,2099818.448,1083917.094
1755388800000,189.61,195.89,187.35,190.99,2261555.556,1168979.573
1755475200000,191.0,191.33,180.0,182.94,3374074.697,1582236.484
1755561600000,182.94,185.87,175.69,176.22,3260089.959,1617839.541
1755648000000,176.22,187.97,176.04,187.94,3464957.674,1726098.66
1755734400000,187.95,190.1,179.43,180.29,2914511.603,1489629.607
1755820800000,180.3,202.4,177.27,200.69,6594118.389,3444837.705
1755907200000,200.69,208.62,195.26,204.14,4788640.759,2425377.181
1755993600000,204.15,211.99,201.09,205.98,7165649.238,3663666.874
1756080000000,205.99,213.6,185.33,187.2,7953100.753,3746268.35
1756166400000,187.19,198.1,185.58,195.86,4734419.522,2382192.607
1756252800000,195.85,212.08,193.78,202.95,7835140.154,4132655.409
1756339200000,202.95,216.89,201.72,214.43,7247306.546,3839942.538
1756425600000,214.43,218.0,199.85,205.08,8607486.597,4284921.175
1756512000000,205.09,207.06,197.52,202.7,3894576.115,1755636.344
1756598400000,202.7,206.66,200.28,200.62,3303223.948,1690466.491
