open_time,open,high,low,close,volume,taker_buy_volume
1762084800000,186.14,186.5,183.53,183.77,396484.887,171416.77
1762099200000,183.77,184.68,182.0,184.02,281296.922,116359.303
1762113600000,184.02,188.1,183.58,187.71,267734.845,163190.921
1762128000000,187.71,189.13,176.73,177.57,1094378.434,468318.27
1762142400000,177.56,178.75,174.22,176.5,863661.732,395632.099
1762156800000,176.51,176.92,173.0,175.32,1002707.728,468202.891
1762171200000,175.32,176.95,165.0,166.79,2334599.655,1070514.196
1762185600000,166.79,171.0,165.61,166.74,1203562.117,530650.328
1762200000000,166.75,167.24,163.15,166.06,828703.397,404453.368
1762214400000,166.06,168.42,164.18,167.66,456279.203,255482.984
1762228800000,167.66,168.13,155.87,157.07,1727235.108,768267.905
1762243200000,157.07,162.25,156.41,161.71,878336.359,494296.495
1762257600000,161.71,165.27,159.32,161.5,1067811.866,561604.317
1762272000000,161.5,162.36,152.26,154.62,1758082.425,870840.056
1762286400000,154.62,155.9,145.85,155.03,2400832.604,1155340.925
1762300800000,155.04,157.42,147.29,156.93,1311505.522,669650.658
1762315200000,156.93,158.62,155.66,156.47,618742.279,326875.069
1762329600000,156.47,157.63,153.67,157.48,688517.494,333098.831
1762344000000,157.48,160.57,156.77,160.5,848056.116,453564.935
1762358400000,160.5,163.93,158.57,162.53,793259.484,417466.536
1762372800000,162.53,163.97,161.12,162.37,390450.793,195135.492
1762387200000,162.37,162.91,159.7,162.45,646585.508,310794.009
1762401600000,162.46,162.75,158.25,158.84,375368.033,146640.218
1762416000000,158.84,159.9,157.66,158.85,462417.2,255630.228
1762430400000,158.85,161.51,155.4,155.92,933014.212,450476.692
1762444800000,155.92,158.67,153.8,156.89,768891.367,342407.516
1762459200000,156.89,157.82,153.45,155.28,390477.007,194977.208
1762473600000,155.27,158.62,154.22,156.85,516516.016,260723.716
1762488000000,156.86,158.28,155.24,157.79,343595.132,165666.852
1762502400000,157.79,158.21,151.67,153.85,557571.888,257243.719
1762516800000,153.86,156.27,149.82,155.42,1207437.006,687150.972
1762531200000,155.42,164.48,154.4,164.17,1019600.496,585581.647
1762545600000,164.17,164.41,161.61,161.79,568357.434,224601.186
1762560000000,161.8,164.89,160.59,162.52,546395.306,278769.178
1762574400000,162.52,163.66,159.58,161.06,346943.276,125056.719
