open_time,open,high,low,close,volume,taker_buy_volume
1724978700000,0.8059,0.8098,0.8041,0.8067,300646.8,110086.8
1724979600000,0.8066,0.8081,0.8039,0.8048,244830.8,137129.7
1724980500000,0.8048,0.8049,0.796,0.7968,533511.6,213972.1
1724981400000,0.7968,0.8046,0.7958,0.8032,445115.5,201922.9
1724982300000,0.8033,0.8062,0.8016,0.8027,208868.6,103292.4
1724983200000,0.8028,0.807,0.8021,0.8064,431710.2,252849.2
1724984100000,0.8065,0.8076,0.7994,0.8044,349790.3,166127.2
1724985000000,0.8046,0.8077,0.8035,0.8056,145539.8,72750.9
1724985900000,0.8056,0.8066,0.8016,0.805,147282.0,68581.4
1724986800000,0.8049,0.8052,0.7981,0.8008,343918.9,111147.0
1724987700000,0.801,0.8029,0.7986,0.8001,220596.5,94322.7
1724988600000,0.8001,0.8015,0.7989,0.8004,133402.0,54080.0
1724989500000,0.8008,0.8033,0.8001,0.8001,169490.6,71876.7
1724990400000,0.8002,0.8071,0.8002,0.8056,155115.0,103033.2
1724991300000,0.8056,0.809,0.8034,0.8036,258326.3,140679.5
1724992200000,0.8038,0.8064,0.8028,0.8032,140831.9,45664.7
1724993100000,0.8031,0.8031,0.8003,0.8012,128434.3,72841.1
1724994000000,0.801,0.8016,0.7964,0.7975,270089.7,82143.7
1724994900000,0.7976,0.8001,0.7938,0.7984,380984.1,191174.8
1724995800000,0.7984,0.8027,0.7983,0.8005,137711.5,70593.1
1724996700000,0.8006,0.8038,0.7984,0.7986,248418.0,125693.2
1724997600000,0.7991,0.8049,0.7991,0.8049,179582.5,89493.5
1724998500000,0.8049,0.8057,0.8014,0.8054,194855.0,80634.4
1724999400000,0.8054,0.8119,0.8037,0.8116,276839.8,181601.4
1725000300000,0.8114,0.8124,0.8078,0.8114,228059.9,113409.4
1725001200000,0.8113,0.8139,0.8068,0.8139,457153.2,284151.4
1725002100000,0.8136,0.8199,0.8117,0.8198,459869.1,282263.4
1725003000000,0.8198,0.8199,0.8129,0.8155,367810.8,191257.8
1725003900000,0.8157,0.8179,0.8116,0.8143,242218.9,81284.0
1725004800000,0.8142,0.8171,0.8135,0.8167,269707.1,166542.9
1725005700000,0.8165,0.8234,0.8158,0.8206,485769.0,266664.1
1725006600000,0.8202,0.8222,0.8133,0.8154,344002.1,134010.2
1725007500000,0.8153,0.816,0.8121,0.8149,296534.1,116556.8
1725008400000,0.8153,0.8163,0.8125,0.8155,267958.5,124088.6
1725009300000,0.8155,0.8155,0.8108,0.8136,325933.0,216307.0
1725010200000,0.8135,0.8159,0.8111,0.8148,314646.1,146536.7
1725011100000,0.8149,0.8149,0.8101,0.8106,323581.8,142213.7
1725012000000,0.8106,0.816,0.8089,0.8143,433549.9,291315.5
1725012900000,0.814,0.8164,0.812,0.8125,210228.2,136950.1
1725013800000,0.8123,0.8148,0.8075,0.809,302945.5,119951.1
1725014700000,0.8089,0.8127,0.8075,0.81,195457.8,131947.8
1725015600000,0.81,0.8138,0.8093,0.8113,179058.8,76273.0
1725016500000,0.8117,0.8146,0.8099,0.8134,188828.7,68681.7
1725017400000,0.8134,0.814,0.8083,0.8083,171816.4,46210.9
1725018300000,0.8083,0.8095,0.8054,0.8055,281403.4,120147.5
1725019200000,0.8056,0.8083,0.805,0.807,592673.0,270795.3
1725020100000,0.807,0.8111,0.8026,0.8053,625910.5,305349.8
1725021000000,0.8053,0.8155,0.8038,0.8128,1433914.3,780150.8
1725021900000,0.8124,0.814,0.8066,0.8077,251915.7,101620.9
1725022800000,0.8076,0.8088,0.8046,0.8075,304626.5,135410.5
1725023700000,0.8072,0.8114,0.8067,0.809,155801.4,84475.2
1725024600000,0.8087,0.8121,0.8066,0.8072,714979.8,540344.5
1725025500000,0.8071,0.8104,0.797,0.8095,1353211.8,765969.2
1725026400000,0.8095,0.8196,0.805,0.8056,1249804.5,588809.2
1725027300000,0.8055,0.8067,0.7969,0.8015,1191187.2,485110.9
