open_time,open,high,low,close,volume,taker_buy_volume
1747008000000,4.0176,4.2989,3.808,3.9632,130517259.4,66958155.3
1747094400000,3.9632,4.1139,3.815,4.0632,64931065.9,31987108.4
1747180800000,4.0631,4.0834,3.8523,3.9152,47943485.7,22956422.1
1747267200000,3.9154,3.96,3.6358,3.8486,71854598.0,35508530.2
1747353600000,3.8487,3.9513,3.7186,3.7802,46040992.3,22937822.9
1747440000000,3.7802,3.863,3.672,3.8018,39719906.7,18944965.8
1747526400000,3.8016,4.0051,3.6888,3.9423,71416775.7,36977177.0
1747612800000,3.9423,3.9725,3.5842,3.8373,71432718.4,33576487.1
1747699200000,3.8375,3.941,3.7802,3.8542,67528028.8,34228197.1
1747785600000,3.8543,4.0685,3.7974,3.9286,77556990.9,40453115.3
1747872000000,3.9289,4.2,3.6589,3.8898,180500120.7,88130784.0
1747958400000,3.8898,3.9599,3.5293,3.5816,128263134.0,63242010.8
1748044800000,3.5813,3.6963,3.5666,3.6258,31044909.3,15908550.1
1748131200000,3.6258,3.6664,3.4274,3.6005,50002405.7,24695737.7
1748217600000,3.6005,3.6615,3.454,3.4899,44047388.8,21775156.2
1748304000000,3.49,3.735,3.4041,3.6722,63220388.1,29363597.0
1748390400000,3.6722,3.7448,3.4807,3.605,47603217.2,25157218.5
1748476800000,3.6052,3.7508,3.5015,3.5254,52217314.0,26339235.1
1748563200000,3.5255,3.5508,3.1702,3.1881,81492069.6,37478175.1
1748649600000,3.1878,3.3133,3.053,3.2457,56459778.5,28192917.7
1748736000000,3.2457,3.3649,3.1857,3.343,28178349.4,14667836.8
1748822400000,3.3431,3.3701,3.2237,3.3309,33352248.5,16743276.2
1748908800000,3.3308,3.3911,3.2155,3.2512,31933667.1,15792278.7
1748995200000,3.2512,3.2923,3.1553,3.1632,30493695.7,14001950.0
1749081600000,3.1632,3.23,2.8467,2.9208,61804226.9,29794001.5
1749168000000,2.9208,3.2214,2.915,3.1939,47624945.4,23985790.2
1749254400000,3.1938,3.3131,3.1702,3.2427,26920868.6,13939186.9
1749340800000,3.2427,3.2822,3.179,3.2232,21034070.0,9576454.1
1749427200000,3.223,3.4687,3.1828,3.4483,36928127.5,19137950.1
1749513600000,3.4484,3.5597,3.3646,3.4928,42628249.9,21087155.4
1749600000000,3.4927,3.5285,3.3387,3.3947,37067343.4,17687183.2
1749686400000,3.3949,3.3998,3.1832,3.2078,43274878.5,20789060.1
1749772800000,3.2078,3.2105,2.9186,3.0758,101351788.3,51052735.7
1749859200000,3.0759,3.0774,2.8051,2.947,50089702.7,25563432.0
1749945600000,2.9471,3.043,2.9433,3.0233,27407251.2,13801990.0
1750032000000,3.0234,3.1589,2.9283,2.9962,43292182.4,20447227.6
1750118400000,2.9963,3.0569,2.8028,2.8326,56990075.2,26743061.3
1750204800000,2.8326,2.9181,2.68,2.828,49814317.7,25276387.6
1750291200000,2.8281,2.8679,2.7842,2.8287,24364560.6,11420322.1
1750377600000,2.8288,2.8852,2.65,2.7163,40381027.1,19007802.7
1750464000000,2.7164,2.7543,2.4568,2.5689,39247216.3,18000536.5
1750550400000,2.5689,2.6164,2.2937,2.4495,79002184.1,37856431.9
1750636800000,2.4495,2.8562,2.3925,2.8276,90402062.2,47446327.6
1750723200000,2.8277,2.9131,2.7331,2.7984,60971279.5,28797565.6
1750809600000,2.7984,2.8449,2.7026,2.7316,50013680.8,24909793.0
1750896000000,2.732,2.8053,2.5501,2.6012,54759358.6,27752541.8
1750982400000,2.6013,2.7958,2.5806,2.7213,57137574.8,28043041.1
1751068800000,2.7214,2.8439,2.6794,2.8018,26428572.5,14021188.0
1751155200000,2.8017,2.9278,2.7686,2.8997,32671289.9,15570647.9
1751241600000,2.8997,2.9106,2.7363,2.7769,34288010.7,16275046.2
