open_time,open,high,low,close,volume,taker_buy_volume
1762084800000,2.3727,2.3735,2.3025,2.3141,4644365.0,2134395.2
1762099200000,2.3141,2.3276,2.283,2.3068,4367929.5,2141183.4
1762113600000,2.3068,2.3609,2.2957,2.354,3399330.8,1743850.4
1762128000000,2.354,2.3629,2.2017,2.2082,9531733.6,4179012.3
1762142400000,2.2081,2.2301,2.1556,2.1943,10150372.3,5177598.0
1762156800000,2.1943,2.2259,2.1535,2.1774,6743739.5,3308318.3
1762171200000,2.1774,2.1925,1.994,2.0428,28235794.2,14173530.8
1762185600000,2.0428,2.1377,2.0327,2.0843,14415049.6,7059258.6
1762200000000,2.0844,2.089,2.031,2.0698,9251009.6,4418542.1
1762214400000,2.0698,2.1075,2.0421,2.0872,8444270.9,4404962.2
1762228800000,2.0872,2.0944,1.9756,1.9903,23095919.7,10621921.3
1762243200000,1.9903,2.0764,1.9896,2.0714,16652256.5,8791079.4
1762257600000,2.0715,2.0862,2.004,2.0233,14553033.4,7342435.2
1762272000000,2.0233,2.0479,1.8886,1.9276,31791912.0,14751413.6
1762286400000,1.9277,2.0035,1.8202,1.9754,39336654.3,19831175.0
1762300800000,1.9754,2.0328,1.8797,2.0277,20060553.7,10021864.5
1762315200000,2.0276,2.0365,2.0048,2.0285,7407139.5,3953531.8
1762329600000,2.0285,2.0559,1.9843,2.0495,9240664.5,4944011.1
1762344000000,2.0495,2.0698,2.0176,2.0418,11533897.6,5983967.0
1762358400000,2.0419,2.0592,2.013,2.0301,11612699.7,6381915.9
1762372800000,2.0301,2.0456,2.0141,2.0322,5585683.0,2675500.1
1762387200000,2.0321,2.057,1.9948,2.0449,7440386.3,3574369.4
1762401600000,2.0449,2.052,1.9833,1.9925,6417221.8,3047961.5
1762416000000,1.9925,2.0094,1.9752,1.9928,5552376.5,2670421.6
1762430400000,1.9927,2.0117,1.9303,1.9372,15836168.6,8284381.6
1762444800000,1.9372,1.976,1.9023,1.9644,10040820.5,4977352.0
1762459200000,1.9644,1.9869,1.9397,1.9677,5657633.8,2766988.0
1762473600000,1.9677,2.0117,1.9528,2.0061,8273131.5,4169458.3
1762488000000,2.0062,2.0286,1.9854,2.021,5163284.9,2583423.3
1762502400000,2.021,2.0293,1.948,1.9729,8978598.8,4270153.9
1762516800000,1.9729,2.0704,1.9293,2.06,18119820.3,9782746.9
1762531200000,2.06,2.1943,2.026,2.1713,21318986.2,11430493.2
1762545600000,2.1713,2.1919,2.1351,2.1449,6647288.9,3611065.1
1762560000000,2.1449,2.2003,2.1338,2.1427,9275437.6,4550833.4
1762574400000,2.1427,2.1786,2.1163,2.1613,10294160.9,4519892.4
1762588800000,2.1614,2.167,2.1194,2.1282,5751317.5,3009150.2
1762603200000,2.1282,2.1374,2.0613,2.0713,8166646.7,3758195.4
1762617600000,2.0714,2.1139,2.0608,2.0999,5271909.0,2670830.7
1762632000000,2.0998,2.1261,2.0913,2.1224,2661387.0,1456846.7
1762646400000,2.1224,2.1233,2.05,2.0602,4471403.0,1850578.2
1762660800000,2.0603,2.113,2.0572,2.1046,3782779.1,2022919.2
1762675200000,2.1046,2.1085,2.058,2.0918,5524143.0,2870923.7
1762689600000,2.0918,2.1403,2.0871,2.123,9224236.4,4969786.5
1762704000000,2.1231,2.167,2.1067,2.1653,6760469.4,3604573.5
1762718400000,2.1652,2.1716,2.132,2.1447,5892265.9,2786464.3
1762732800000,2.1446,2.1909,2.1276,2.1761,8833805.8,4503678.2
1762747200000,2.176,2.1946,2.164,2.1759,5129979.3,2505752.8
1762761600000,2.1758,2.231,2.1452,2.1959,7276335.8,3581543.6
1762776000000,2.1958,2.2213,2.1357,2.1493,9006140.3,4096216.7
1762790400000,2.1492,2.1698,2.1234,2.1499,5523834.9,2735273.9
1762804800000,2.1498,2.18,2.1131,2.1631,5271256.2,2354003.1
1762819200000,2.1631,2.2064,2.117,2.1927,9261494.0,4847407.0
1762833600000,2.1926,2.1956,2.0351,2.0843,9190645.8,3774990.7
1762848000000,2.0844,2.1059,2.0715,2.0934,5623949.3,2787503.2
1762862400000,2.0935,2.1089,2.0678,2.0788,6906144.6,3405238.8
1762876800000,2.0788,2.0951,2.0368,2.0415,5630377.3,2664260.7
1762891200000,2.0416,2.0457,2.002,2.0079,5122982.6,2526365.7
1762905600000,2.008,2.0345,1.9944,2.0233,4120690.6,2121793.9
1762920000000,2.0233,2.0462,2.01,2.0121,3695908.2,2107310.4
1762934400000,2.0121,2.0828,2.0121,2.0693,5323288.5,2780244.8
1762948800000,2.0693,2.0987,1.9893,1.9974,8361010.0,3951965.3
1762963200000,1.9975,2.0051,1.9492,1.9641,9368470.6,4478134.7
1762977600000,1.964,1.9891,1.9581,1.9676,3059974.4,1611999.7
1762992000000,1.9675,2.0253,1.9497,2.0049,5101555.8,2582599.4
1763006400000,2.005,2.0393,1.9898,2.0232,5488676.1,2804438.6
1763020800000,2.0232,2.0361,2.005,2.0196,4840974.6,2117703.6
1763035200000,2.0196,2.0543,1.9856,1.995,10394268.3,4535473.6
1763049600000,1.9949,1.9993,1.8352,1.8435,16527774.6,7897656.9
1763064000000,1.8435,1.8907,1.8208,1.8725,11734416.7,5755631.1
1763078400000,1.8725,1.8789,1.8349,1.8429,8385763.1,4116735.7
1763092800000,1.8429,1.8549,1.7626,1.8433,16947521.1,9341778.2
1763107200000,1.8433,1.8437,1.7725,1.79,13150911.1,5648772.3
1763121600000,1.79,1.8213,1.7422,1.8006,21011209.5,10406300.4
1763136000000,1.8007,1.8208,1.7733,1.8085,8936484.6,4389077.1
1763150400000,1.8084,1.8098,1.7054,1.7406,8341595.0,4232469.8
1763164800000,1.7407,1.7985,1.7373,1.7918,5228347.4,2588994.7
1763179200000,1.7919,1.8071,1.7796,1.7832,3358233.7,1611858.7
1763193600000,1.7832,1.7847,1.7434,1.7563,3993339.5,1858657.7
1763208000000,1.7563,1.7949,1.7528,1.7847,4068932.7,2187912.0
