open_time,open,high,low,close,volume,taker_buy_volume
1762084800000,2.318,2.319,2.273,2.284,974460.35,392832.59
1762099200000,2.284,2.297,2.264,2.289,679234.16,298368.19
1762113600000,2.29,2.315,2.281,2.31,307199.24,155699.95
1762128000000,2.311,2.312,2.203,2.206,1399670.21,566603.01
1762142400000,2.206,2.23,2.165,2.202,1137626.23,589206.29
1762156800000,2.202,2.213,2.175,2.191,801080.62,384269.53
1762171200000,2.19,2.202,2.0,2.079,4936775.82,2458800.45
1762185600000,2.078,2.121,2.046,2.048,3228529.29,1733705.9
1762200000000,2.049,2.052,1.99,2.017,1940974.82,823523.0
1762214400000,2.017,2.042,1.993,2.015,1284687.56,683633.63
1762228800000,2.016,2.027,1.917,1.956,4648594.53,2376060.65
1762243200000,1.955,2.003,1.937,1.976,2394117.01,1383602.65
1762257600000,1.976,2.026,1.964,1.973,1929989.2,913156.44
1762272000000,1.972,1.981,1.841,1.884,4479450.39,2150185.02
1762286400000,1.885,1.913,1.792,1.902,5413949.69,2636344.06
1762300800000,1.901,1.943,1.832,1.94,2690145.16,1151242.54
1762315200000,1.94,1.947,1.877,1.894,1570290.42,734902.62
1762329600000,1.893,1.919,1.867,1.915,1630907.97,851156.53
1762344000000,1.914,1.938,1.906,1.924,1531672.44,773506.31
1762358400000,1.925,1.969,1.921,1.957,1488942.85,614544.7
1762372800000,1.957,1.967,1.95,1.958,485460.0,221293.94
1762387200000,1.959,1.963,1.925,1.948,735794.86,285902.68
1762401600000,1.949,1.96,1.918,1.929,608415.71,277080.76
1762416000000,1.928,1.936,1.914,1.929,944103.7,424599.76
1762430400000,1.929,1.956,1.902,1.916,1335812.96,743496.37
1762444800000,1.917,1.949,1.885,1.934,1093516.44,513130.54
1762459200000,1.934,1.96,1.909,1.958,862565.16,433286.01
1762473600000,1.959,1.991,1.954,1.983,1337468.1,666973.56
1762488000000,1.984,2.019,1.964,2.017,1049120.59,565479.63
1762502400000,2.017,2.017,1.943,1.958,1358417.31,680475.53
1762516800000,1.958,2.018,1.92,2.01,1958979.46,1026102.5
1762531200000,2.01,2.127,2.007,2.1,3261038.81,1795065.99
1762545600000,2.1,2.119,2.085,2.091,1089985.73,551954.97
1762560000000,2.091,2.151,2.09,2.103,1276566.46,623380.84
1762574400000,2.104,2.122,2.058,2.084,1518691.09,735308.54
1762588800000,2.085,2.099,2.068,2.092,908669.78,468409.55
1762603200000,2.092,2.112,2.06,2.07,1137286.62,486072.49
1762617600000,2.07,2.1,2.049,2.085,785476.5,372151.19
