open_time,open,high,low,close,volume,taker_buy_volume
1724978700000,0.5627,0.5643,0.5623,0.5638,1994600.0,1035320.0
1724979600000,0.5638,0.5652,0.5637,0.5641,2774424.0,1600248.0
1724980500000,0.564,0.5645,0.5625,0.563,2691964.0,1311820.0
1724981400000,0.5629,0.565,0.5627,0.5643,2926523.0,1747535.0
1724982300000,0.5643,0.5651,0.5637,0.5644,2498098.0,1309646.0
1724983200000,0.5643,0.5649,0.5635,0.5642,975662.0,529353.0
1724984100000,0.5642,0.5643,0.5628,0.5641,1430789.0,709133.0
1724985000000,0.5641,0.5647,0.5636,0.5642,1289424.0,567572.0
1724985900000,0.5641,0.5648,0.5636,0.5645,1266367.0,683250.0
1724986800000,0.5645,0.5645,0.5628,0.5629,1402430.0,856363.0
1724987700000,0.5629,0.5642,0.5629,0.5633,1319922.0,716992.0
1724988600000,0.5632,0.5633,0.5609,0.5612,1251571.0,547529.0
1724989500000,0.5612,0.5624,0.5612,0.5619,1354477.0,539631.0
1724990400000,0.5618,0.5635,0.5616,0.5631,1808921.0,805577.0
1724991300000,0.563,0.5639,0.563,0.5633,781396.0,470539.0
1724992200000,0.5633,0.564,0.5628,0.5635,1113568.0,564913.0
1724993100000,0.5635,0.5635,0.5626,0.5633,403446.0,281190.0
1724994000000,0.5633,0.5633,0.5613,0.5617,765418.0,305811.0
1724994900000,0.5616,0.5619,0.5601,0.5605,1821398.0,899569.0
1724995800000,0.5605,0.5619,0.5601,0.5611,871044.0,508771.0
1724996700000,0.561,0.5614,0.5586,0.5591,3792832.0,1117795.0
1724997600000,0.5591,0.5606,0.5588,0.5603,1572246.0,658865.0
1724998500000,0.5602,0.5608,0.5574,0.56,4211950.0,1479042.0
1724999400000,0.56,0.5623,0.56,0.5622,1131213.0,699029.0
1725000300000,0.5622,0.5636,0.5619,0.5634,2492336.0,1650474.0
1725001200000,0.5634,0.5634,0.5618,0.5622,6664774.0,1929165.0
1725002100000,0.5622,0.5637,0.5618,0.5637,7446744.0,5141857.0
1725003000000,0.5637,0.5661,0.5631,0.5652,6338170.0,3285137.0
1725003900000,0.5652,0.5652,0.5639,0.5644,1092631.0,286562.0
1725004800000,0.5644,0.565,0.564,0.5646,725871.0,447467.0
1725005700000,0.5646,0.565,0.5641,0.5643,731790.0,390359.0
1725006600000,0.5642,0.5653,0.5632,0.5641,1145331.0,537894.0
1725007500000,0.564,0.5641,0.5634,0.5635,1180678.0,236136.0
1725008400000,0.5634,0.5638,0.5625,0.5631,1161870.0,673014.0
1725009300000,0.563,0.5637,0.5625,0.5633,1413979.0,732421.0
1725010200000,0.5633,0.5635,0.5626,0.5634,2434289.0,1032433.0
1725011100000,0.5633,0.5645,0.5631,0.5635,2586964.0,913247.0
1725012000000,0.5634,0.5635,0.562,0.5626,3735984.0,1044627.0
1725012900000,0.5626,0.5632,0.5617,0.5618,4099125.0,513867.0
1725013800000,0.5617,0.5655,0.5614,0.5654,8947801.0,4779723.0
1725014700000,0.5653,0.5654,0.5643,0.5646,2801120.0,1137352.0
1725015600000,0.5645,0.5653,0.5636,0.5639,2680669.0,1396118.0
1725016500000,0.5639,0.565,0.5636,0.5648,1731425.0,1016451.0
1725017400000,0.5648,0.5649,0.5634,0.5639,1895536.0,913877.0
1725018300000,0.5638,0.5642,0.5632,0.5638,1641955.0,647043.0
1725019200000,0.5637,0.5653,0.5634,0.5649,2929051.0,1613320.0
1725020100000,0.5649,0.566,0.5643,0.5651,1992505.0,730560.0
1725021000000,0.565,0.5678,0.5649,0.5667,5466101.0,2768445.0
1725021900000,0.5666,0.5668,0.5652,0.5654,1583820.0,544493.0
1725022800000,0.5653,0.5654,0.5641,0.5652,1629903.0,834392.0
1725023700000,0.5651,0.5656,0.5647,0.5648,2361776.0,924429.0
1725024600000,0.5648,0.5657,0.564,0.5643,3594857.0,1799815.0
1725025500000,0.5643,0.5649,0.5584,0.5619,7855551.0,3155115.0
