open_time,open,high,low,close,volume,taker_buy_volume
1764331200000,2.1971,2.2029,2.1935,2.1961,3337510.3,2063228.6
1764334800000,2.1961,2.2303,2.1893,2.2221,5830692.2,3081496.9
1764338400000,2.2221,2.2327,2.2005,2.2149,9148654.3,4528492.3
1764342000000,2.2148,2.2752,2.2136,2.2453,19188542.9,8446027.9
1764345600000,2.2454,2.2517,2.19,2.191,11454134.3,4780085.8
1764349200000,2.1911,2.1959,2.1663,2.1755,10761265.2,5485451.7
1764352800000,2.1754,2.1796,2.1565,2.1721,6862610.9,3932249.0
1764356400000,2.1722,2.1965,2.1716,2.1882,4663249.2,2524435.7
1764360000000,2.1881,2.192,2.173,2.1885,3339505.9,1853853.4
1764363600000,2.1886,2.1918,2.1756,2.1829,4044683.4,1118625.9
1764367200000,2.1829,2.19,2.172,2.1872,3431765.0,1490842.6
1764370800000,2.1871,2.1907,2.1784,2.1795,1534882.6,835345.7
1764374400000,2.1795,2.187,2.1736,2.1811,1588329.4,828690.8
1764378000000,2.181,2.1872,2.175,2.178,1131237.4,598707.8
1764381600000,2.178,2.1838,2.1726,2.1802,1190920.3,545485.3
1764385200000,2.1802,2.1881,2.1786,2.1859,1537495.4,571414.8
1764388800000,2.1859,2.1898,2.18,2.1887,1297631.0,576779.2
1764392400000,2.1888,2.1897,2.1789,2.1814,985991.5,391437.2
1764396000000,2.1814,2.1887,2.1666,2.1838,3327675.7,1341303.8
1764399600000,2.1837,2.1858,2.1738,2.1797,1957993.8,570657.0
1764403200000,2.1796,2.1839,2.1741,2.1813,1324094.0,506774.9
1764406800000,2.1812,2.1848,2.1762,2.1841,1006333.4,355686.5
1764410400000,2.1841,2.1879,2.1786,2.1862,1284344.1,495140.6
1764414000000,2.1862,2.2147,2.1837,2.2112,4447868.0,2161955.5
1764417600000,2.2113,2.2231,2.2041,2.2136,4349604.8,1776993.0
1764421200000,2.2135,2.2149,2.1974,2.1998,5114259.6,1310135.6
1764424800000,2.1999,2.2115,2.1922,2.2032,3435695.6,1346552.1
1764428400000,2.2031,2.2212,2.202,2.2186,4360396.0,2131575.1
1764432000000,2.2187,2.2217,2.2057,2.2165,4065502.3,1796800.2
1764435600000,2.2165,2.219,2.1973,2.1983,3085506.3,1119239.4
1764439200000,2.1983,2.2045,2.1898,2.2007,3751032.0,1645037.9
1764442800000,2.2007,2.2127,2.1912,2.194,2250242.2,1132894.3
1764446400000,2.194,2.2099,2.1872,2.2091,1570723.7,771584.0
1764450000000,2.209,2.2149,2.2038,2.2065,1927007.5,706136.1
1764453600000,2.2065,2.2091,2.1983,2.2021,1152187.2,439812.3
1764457200000,2.2021,2.206,2.1968,2.2009,884712.9,334581.0
1764460800000,2.201,2.2052,2.1979,2.1999,1349651.7,753948.6
1764464400000,2.2,2.2105,2.1985,2.2058,941102.9,435150.3
1764468000000,2.2059,2.2126,2.1964,2.1984,1098265.1,434394.4
1764471600000,2.1984,2.2109,2.1882,2.2064,2903835.5,970572.2
1764475200000,2.2065,2.2093,2.1975,2.1994,1035775.9,407376.7
1764478800000,2.1994,2.1994,2.1915,2.1954,1025200.1,478924.4
1764482400000,2.1955,2.2,2.1914,2.1947,887723.6,490878.6
1764486000000,2.1946,2.2015,2.1922,2.1994,669305.5,441132.6
1764489600000,2.1993,2.2099,2.1906,2.1917,2031556.0,1130773.4
1764493200000,2.1917,2.1983,2.1892,2.1966,2477295.7,1370103.3
1764496800000,2.1966,2.197,2.1881,2.1899,1926811.9,867216.2
1764500400000,2.1899,2.1928,2.1824,2.1881,2320556.0,1454106.9
1764504000000,2.1881,2.2021,2.1846,2.1971,1676466.0,846351.2
1764507600000,2.1971,2.2079,2.1937,2.2054,3265771.2,1729069.7
1764511200000,2.2053,2.2058,2.1894,2.1941,2490090.1,1120987.2
1764514800000,2.1941,2.1976,2.186,2.1966,3037656.7,1485045.1
1764518400000,2.1966,2.215,2.1958,2.2099,2148500.8,1057576.3
1764522000000,2.2098,2.2104,2.1969,2.2016,1758717.6,792564.6
1764525600000,2.2015,2.2067,2.1955,2.2035,937141.2,438428.4
1764529200000,2.2034,2.2069,2.1968,2.1995,869044.0,429750.8
1764532800000,2.1995,2.2035,2.1887,2.1964,1563801.9,750051.7
1764536400000,2.1963,2.1963,2.1786,2.1869,3230113.6,1478686.3
1764540000000,2.1869,2.1969,2.186,2.1924,1580587.6,820390.9
1764543600000,2.1924,2.1935,2.1524,2.155,11257918.3,3927493.0
1764547200000,2.1549,2.1609,2.0575,2.0576,30341752.3,15947248.5
1764550800000,2.0576,2.0929,2.057,2.0784,6694311.5,3720437.2
1764554400000,2.0783,2.0879,2.0564,2.0637,6240910.2,2693611.0
1764558000000,2.0637,2.0653,2.0417,2.0499,7916455.9,3665136.4
1764561600000,2.0499,2.0537,2.0285,2.0298,7401670.8,3519080.9
1764565200000,2.0298,2.0369,2.0168,2.0282,5909371.1,3150353.5
1764568800000,2.0282,2.0496,2.0278,2.0474,7704702.2,5034157.7
1764572400000,2.0474,2.0589,2.033,2.0568,5814204.9,3135532.9
1764576000000,2.0567,2.0595,2.0478,2.0571,4722809.6,2388324.6
1764579600000,2.057,2.0606,2.0433,2.0462,3224363.8,1618540.5
1764583200000,2.0462,2.0485,2.0376,2.0422,2564616.5,1094085.8
1764586800000,2.0422,2.0464,2.0316,2.034,3092431.4,1040611.8
1764590400000,2.034,2.0362,2.0021,2.0279,8764651.1,3957122.5
1764594000000,2.0279,2.0369,2.0093,2.0202,5058272.3,2086787.5
1764597600000,2.0203,2.0492,2.0142,2.0314,7011991.1,3239713.4
1764601200000,2.0315,2.0355,1.9835,2.0073,12586404.2,5617996.6
1764604800000,2.0073,2.0098,1.9866,1.9911,6529727.7,2962335.3
1764608400000,1.9911,2.0045,1.988,1.9951,4489663.8,2108390.2
1764612000000,1.9951,2.0127,1.994,2.0046,3131217.7,1695694.4
1764615600000,2.0045,2.0052,1.987,1.9949,2474922.4,1175071.6
1764619200000,1.9948,2.0268,1.9939,2.0119,5190274.3,2616819.2
1764622800000,2.012,2.0447,2.0107,2.0264,11048594.2,3982050.7
1764626400000,2.0264,2.0425,2.0179,2.0331,12965328.1,4699699.6
1764630000000,2.0331,2.0427,2.0292,2.0297,3040906.0,1204986.9
1764633600000,2.0297,2.0309,2.0125,2.0214,4296573.1,1894896.9
1764637200000,2.0213,2.0437,2.016,2.0177,3398413.4,2120682.3
1764640800000,2.0177,2.0316,2.0096,2.0217,3364710.8,1501981.0
1764644400000,2.0217,2.0264,2.0021,2.0207,5198475.8,3136827.7
1764648000000,2.0207,2.0279,2.0148,2.0156,4990744.5,2294897.0
1764651600000,2.0156,2.02,2.0095,2.0165,1538258.7,758999.0
1764655200000,2.0164,2.0258,2.0094,2.0236,2303691.0,862508.0
1764658800000,2.0237,2.0243,2.0105,2.0171,1323902.4,604590.6
1764662400000,2.0172,2.0177,1.995,2.0024,4483231.8,1878914.8
1764666000000,2.0024,2.02,2.0017,2.012,2011981.6,1074526.5
1764669600000,2.0119,2.0387,2.0118,2.0282,3350337.0,1435813.2
1764673200000,2.0282,2.0418,2.0254,2.0369,3273780.3,1753441.4
1764676800000,2.0368,2.0423,2.0266,2.0401,3871237.1,2061275.7
1764680400000,2.0401,2.0482,2.0341,2.0443,4712227.4,2426270.1
1764684000000,2.0444,2.0929,2.0407,2.0928,12338659.3,6855852.8
1764687600000,2.0928,2.1653,2.091,2.1554,19880833.6,10016668.4
1764691200000,2.1554,2.1625,2.1344,2.1468,10534236.1,4440487.7
1764694800000,2.1468,2.1783,2.1445,2.1698,7311522.5,3278804.9
1764698400000,2.1698,2.1804,2.1653,2.1748,7363740.0,2690170.6
1764702000000,2.1748,2.1831,2.1692,2.1743,4141800.5,1817383.7
1764705600000,2.1742,2.1777,2.1473,2.1649,11345275.4,3498051.8
1764709200000,2.1649,2.1766,2.1626,2.167,4425216.1,1598704.7
1764712800000,2.1671,2.1735,2.1633,2.1693,2602947.7,1196668.4
1764716400000,2.1694,2.1726,2.1521,2.1532,4402512.8,1902487.5
1764720000000,2.1531,2.158,2.1414,2.1526,5818457.9,2670491.5
1764723600000,2.1527,2.167,2.1479,2.161,3271260.3,1567649.8
1764727200000,2.1611,2.1906,2.1598,2.1833,6220673.4,3438164.6
1764730800000,2.1833,2.1912,2.174,2.1762,2292591.7,1100167.5
1764734400000,2.1763,2.1998,2.1731,2.1991,5183430.7,2209988.7
1764738000000,2.1991,2.219,2.1983,2.203,5522827.8,2677504.5
1764741600000,2.203,2.2145,2.1912,2.1941,7343197.5,3165532.9
1764745200000,2.1941,2.2059,2.1898,2.1914,7306307.5,3623658.8
1764748800000,2.1914,2.1955,2.1861,2.1878,3021781.9,1151806.9
1764752400000,2.1878,2.1894,2.1784,2.1836,3200511.9,1523968.1
1764756000000,2.1836,2.1903,2.1725,2.1738,2606113.0,1379585.2
1764759600000,2.1739,2.1779,2.1668,2.1764,3223557.1,1548458.8
1764763200000,2.1764,2.1803,2.171,2.1779,2415751.2,1015384.7
1764766800000,2.1778,2.1832,2.1727,2.1766,2339584.7,1290407.3
1764770400000,2.1767,2.1993,2.1425,2.168,13087889.6,5928199.6
1764774000000,2.1681,2.1836,2.1567,2.1689,5647461.3,2686640.8
1764777600000,2.1689,2.181,2.1582,2.1686,5003753.9,2486792.9
1764781200000,2.1686,2.1869,2.1667,2.1844,3302355.6,1504851.8
1764784800000,2.1844,2.193,2.1684,2.1731,3272614.8,1604446.6
1764788400000,2.1731,2.1865,2.1718,2.1863,2397088.7,1117026.4
1764792000000,2.1863,2.2031,2.1823,2.1986,3857939.9,2197946.2
1764795600000,2.1986,2.2105,2.1955,2.2084,6500910.5,2970311.4
1764799200000,2.2083,2.2141,2.1948,2.2035,5600777.2,2445487.1
1764802800000,2.2036,2.2143,2.1961,2.1976,3071036.3,1297430.6
1764806400000,2.1976,2.2062,2.1869,2.1952,4269512.5,1952278.8
1764810000000,2.1952,2.2146,2.1931,2.1931,2843785.0,1456589.0
1764813600000,2.1931,2.2088,2.1917,2.202,1791114.7,775005.6
1764817200000,2.2019,2.2064,2.1931,2.195,2066334.6,886936.1
1764820800000,2.195,2.2,2.1844,2.1874,2963190.8,1241208.0
1764824400000,2.1874,2.1885,2.1715,2.1767,4191923.9,1680250.9
1764828000000,2.1768,2.1853,2.1749,2.1805,2810239.9,1568464.4
1764831600000,2.1805,2.1806,2.1657,2.1725,4232665.4,1913979.1
1764835200000,2.1725,2.1789,2.1607,2.1634,2856415.5,1572484.9
1764838800000,2.1634,2.1751,2.1631,2.1707,2397426.0,1420294.2
1764842400000,2.1707,2.1728,2.1565,2.1585,2867376.5,1344161.6
1764846000000,2.1585,2.1589,2.1426,2.151,5335201.8,2187845.9
1764849600000,2.1511,2.155,2.1385,2.1461,4651696.8,2045018.8
1764853200000,2.1462,2.1509,2.1254,2.1259,8060217.2,3476560.5
1764856800000,2.1259,2.1388,2.1143,2.1197,6896093.9,3427116.3
1764860400000,2.1196,2.1576,2.1194,2.1529,6500943.7,3548140.9
1764864000000,2.153,2.1581,2.1326,2.1379,5478390.4,3228502.0
1764867600000,2.1379,2.1395,2.1167,2.128,4270435.8,2063364.8
1764871200000,2.1281,2.1288,2.0981,2.1036,7904161.3,3801673.5
1764874800000,2.1036,2.1055,2.0691,2.0975,8360448.0,4096282.2
1764878400000,2.0975,2.1092,2.0864,2.1052,4154459.4,2061533.9
1764882000000,2.1052,2.1108,2.0888,2.0909,2582964.5,1299911.5
1764885600000,2.0909,2.1051,2.0909,2.0979,2225012.1,1269940.0
1764889200000,2.098,2.1001,2.0919,2.096,1382507.9,665537.3
1764892800000,2.096,2.113,2.0946,2.1044,2549250.6,1280638.6
1764896400000,2.1043,2.1122,2.1033,2.1055,2283446.6,1086356.9
1764900000000,2.1054,2.112,2.102,2.1038,1969608.2,897720.9
1764903600000,2.1037,2.1071,2.0876,2.0909,2532996.7,875019.0
1764907200000,2.0909,2.0986,2.0788,2.0857,2982233.1,1289305.9
1764910800000,2.0857,2.0881,2.0764,2.0817,1957678.5,1077684.8
1764914400000,2.0817,2.0899,2.0817,2.0895,1794615.5,1096171.1
1764918000000,2.0894,2.0986,2.0872,2.0933,2121812.4,1332935.5
1764921600000,2.0933,2.0936,2.0756,2.079,2727660.7,1414681.0
1764925200000,2.0789,2.0791,2.0541,2.0577,5064997.3,2051868.1
1764928800000,2.0577,2.0698,2.0548,2.0618,2732464.7,1594753.7
1764932400000,2.0619,2.0712,2.055,2.069,6807950.8,1990859.1
1764936000000,2.069,2.0744,2.0654,2.0681,2484717.9,1265520.5
1764939600000,2.0682,2.0767,2.0575,2.0657,4257490.5,2082226.1
1764943200000,2.0657,2.0736,2.0567,2.0659,3665257.8,1497498.4
1764946800000,2.0659,2.0999,2.0658,2.076,9283286.9,5452340.4
1764950400000,2.076,2.0777,2.0179,2.0338,13402732.5,6309335.0
1764954000000,2.0337,2.0449,2.0171,2.0357,8373108.2,4698617.8
1764957600000,2.0356,2.0478,2.0158,2.0188,5339453.5,2698449.2
1764961200000,2.0189,2.0425,2.0125,2.0374,4628023.7,2723018.7
1764964800000,2.0373,2.0376,2.0226,2.0232,2981652.8,1421198.4
1764968400000,2.0232,2.0328,2.0201,2.0281,2239693.6,1209387.9
1764972000000,2.0281,2.0365,2.0197,2.0319,1814663.1,937166.5
1764975600000,2.032,2.0379,2.0231,2.0344,1343287.3,780477.8
1764979200000,2.0344,2.0347,2.0178,2.0335,3429900.8,2050102.3
1764982800000,2.0334,2.0393,2.0268,2.0305,1603704.3,1020759.3
1764986400000,2.0306,2.0333,2.0254,2.0327,1185456.2,758787.0
1764990000000,2.0327,2.0424,2.0324,2.0388,1144877.6,626124.1
1764993600000,2.0389,2.0416,2.0343,2.0411,1108295.1,663387.1
1764997200000,2.041,2.0447,2.0362,2.0438,1317155.7,764193.4
1765000800000,2.0438,2.0504,2.035,2.0357,1909806.6,1237545.7
1765004400000,2.0356,2.0391,2.0281,2.0303,2048094.2,929350.2
1765008000000,2.0304,2.0308,2.0154,2.0175,2824910.0,1353650.2
1765011600000,2.0175,2.0287,2.0175,2.0259,2118318.5,1249772.6
1765015200000,2.0259,2.0298,2.0219,2.0246,1344886.7,661795.8
1765018800000,2.0245,2.0332,2.0231,2.0321,1754030.9,840207.3
1765022400000,2.0321,2.0343,2.0263,2.0304,1409538.7,629281.8
1765026000000,2.0305,2.0394,2.0301,2.0311,2400935.5,846288.2
1765029600000,2.0311,2.0474,2.0293,2.0395,4209039.6,1853850.3
1765033200000,2.0396,2.0407,2.0221,2.0299,2948394.5,1103194.0
1765036800000,2.0298,2.0392,2.0276,2.0354,1417266.2,840225.4
1765040400000,2.0354,2.0377,2.0284,2.0334,1239332.0,521219.0
1765044000000,2.0334,2.0381,2.0293,2.031,1024414.8,556982.5
1765047600000,2.031,2.0337,2.0204,2.0255,2377800.1,896715.9
1765051200000,2.0255,2.0321,2.0229,2.0305,1097077.2,563132.8
1765054800000,2.0304,2.0372,2.029,2.0334,1632161.8,833710.7
1765058400000,2.0334,2.036,2.0275,2.0282,791406.2,367216.4
1765062000000,2.0282,2.0347,2.024,2.0309,1232221.6,601497.3
1765065600000,2.031,2.0394,2.0295,2.0373,1107892.8,670141.6
1765069200000,2.0374,2.0429,2.034,2.0341,1061696.2,555434.9
1765072800000,2.034,2.0494,2.034,2.0482,1128101.5,582130.4
1765076400000,2.0483,2.0723,2.0475,2.0685,3087218.8,1338022.9
1765080000000,2.0685,2.0738,2.0523,2.0531,1934330.9,828923.1
1765083600000,2.0531,2.0568,2.0454,2.0485,1577580.5,644607.1
1765087200000,2.0485,2.0527,2.044,2.0464,751728.9,362556.6
1765090800000,2.0463,2.0493,2.0283,2.0309,2063177.8,1024125.6
1765094400000,2.0309,2.0362,2.025,2.0305,1667140.9,768330.6
1765098000000,2.0306,2.0361,2.0244,2.0286,1710453.8,584396.8
1765101600000,2.0286,2.0356,2.0266,2.0309,1076753.9,527418.4
1765105200000,2.0309,2.0346,2.0284,2.0338,775401.3,342574.1
1765108800000,2.0338,2.0507,2.0321,2.0469,1571637.5,899016.4
1765112400000,2.0469,2.0479,2.0262,2.0312,1921582.3,889130.7
1765116000000,2.0313,2.0323,1.9894,1.9991,14616932.9,6510193.0
1765119600000,1.9991,2.0557,1.9985,2.0527,6862868.5,3472564.7
1765123200000,2.0527,2.0588,2.0381,2.058,4526388.6,2178975.6
1765126800000,2.058,2.0962,2.0518,2.0875,9836567.3,5445430.6
1765130400000,2.0875,2.1109,2.0875,2.1035,5298695.4,2333968.5
1765134000000,2.1036,2.1075,2.0841,2.0871,3810077.4,1430487.1
1765137600000,2.0872,2.0937,2.0791,2.0847,2619302.0,1261995.7
1765141200000,2.0847,2.0848,2.0354,2.0491,4773535.4,1940247.6
1765144800000,2.049,2.0492,2.0123,2.0291,7676739.9,3543356.6
1765148400000,2.029,2.0453,2.0231,2.0442,2331055.3,1155911.0
1765152000000,2.0442,2.0493,2.0319,2.045,2694844.6,1324407.0
1765155600000,2.0449,2.0912,2.0442,2.068,5351644.4,2564904.1
1765159200000,2.0681,2.0778,2.0586,2.074,2219934.9,958374.8
1765162800000,2.074,2.0773,2.0643,2.0719,2144502.3,931368.1
1765166400000,2.072,2.0865,2.0701,2.0742,2090724.2,1148446.0
1765170000000,2.0742,2.083,2.0697,2.0784,1316021.2,590836.9
1765173600000,2.0784,2.0847,2.0724,2.0802,1622176.2,736881.2
1765177200000,2.0801,2.0946,2.0786,2.0866,2649510.6,1153475.2
1765180800000,2.0865,2.0948,2.0811,2.0912,2325039.4,1385467.7
1765184400000,2.0911,2.1239,2.0901,2.101,7250197.3,3676870.9
1765188000000,2.1009,2.1063,2.096,2.0984,2837439.0,1154998.4
1765191600000,2.0984,2.0995,2.0873,2.0904,3689712.4,1643540.4
1765195200000,2.0904,2.0974,2.0849,2.0952,3021725.5,1302759.3
1765198800000,2.0952,2.102,2.0893,2.0985,3560635.3,1547513.9
1765202400000,2.0986,2.1119,2.0831,2.0839,13796771.4,6934137.7
1765206000000,2.084,2.0935,2.0674,2.0756,11298415.2,3891511.3
1765209600000,2.0756,2.0875,2.0658,2.0731,4031829.0,1739327.5
1765213200000,2.0731,2.084,2.0652,2.0788,2938139.8,1331806.6
1765216800000,2.0788,2.0865,2.0628,2.0682,2401281.0,1056298.1
1765220400000,2.0682,2.0843,2.0676,2.0779,1601346.0,678480.3
1765224000000,2.0779,2.0941,2.0764,2.0874,3141285.9,1530108.3
1765227600000,2.0875,2.0915,2.0737,2.088,3510552.1,1540556.0
1765231200000,2.0881,2.089,2.0745,2.0797,1275246.1,511196.9
1765234800000,2.0797,2.0813,2.0695,2.0724,1280817.1,649439.5
1765238400000,2.0723,2.0827,2.0687,2.0716,1182608.0,539176.9
1765242000000,2.0716,2.0756,2.0585,2.0627,1937032.2,854526.8
1765245600000,2.0627,2.0704,2.0607,2.061,1708238.5,923281.4
1765249200000,2.0611,2.0712,2.0568,2.0698,2597850.0,1349493.0
1765252800000,2.0698,2.0707,2.0531,2.0544,3090845.6,1349034.1
1765256400000,2.0543,2.0595,2.049,2.0503,2157419.6,1145215.4
1765260000000,2.0504,2.0562,2.0419,2.0498,2463298.9,972168.7
1765263600000,2.0498,2.0624,2.0471,2.0615,1712580.9,781625.6
1765267200000,2.0615,2.066,2.057,2.0631,2290476.3,1168773.3
1765270800000,2.063,2.0636,2.0566,2.0582,1237894.0,561146.9
1765274400000,2.0581,2.0612,2.0459,2.0553,1658035.2,775006.9
1765278000000,2.0553,2.0706,2.0518,2.0689,1464837.3,837629.3
1765281600000,2.069,2.086,2.0669,2.084,2922871.7,1426204.5
1765285200000,2.084,2.0859,2.0642,2.0664,2366223.9,1082845.2
1765288800000,2.0664,2.0731,2.049,2.0553,5516324.1,2859259.5
1765292400000,2.0553,2.12,2.0534,2.1156,12274756.8,6682542.0
1765296000000,2.1155,2.1747,2.1154,2.165,19647427.2,9852001.3
1765299600000,2.1651,2.178,2.1415,2.1493,14703321.7,5983249.2
1765303200000,2.1494,2.158,2.1391,2.1477,7172188.4,3044217.9
1765306800000,2.1478,2.1487,2.129,2.1328,6712329.8,2859278.9
1765310400000,2.1328,2.1344,2.097,2.1135,9132698.3,4339256.6
1765314000000,2.1134,2.1168,2.0854,2.0991,4742637.3,1807712.6
1765317600000,2.0992,2.118,2.0961,2.1105,3398329.1,1736566.6
1765321200000,2.1105,2.1136,2.1059,2.1062,1769430.2,854182.3
1765324800000,2.1061,2.1099,2.089,2.0896,2616745.5,1279400.6
1765328400000,2.0895,2.0959,2.0868,2.0892,2358782.5,1194146.1
1765332000000,2.0891,2.0935,2.0817,2.088,2319087.1,918366.7
1765335600000,2.0879,2.0884,2.082,2.0835,2462081.8,1299181.4
1765339200000,2.0834,2.0966,2.0797,2.0904,3890396.6,1937094.2
1765342800000,2.0903,2.0939,2.0837,2.0883,2942546.8,1243191.7
1765346400000,2.0884,2.0896,2.0832,2.0862,2373770.0,776987.1
1765350000000,2.0862,2.0862,2.0763,2.0843,3762159.5,1567371.9
1765353600000,2.0844,2.0853,2.0774,2.078,2484920.4,878714.2
1765357200000,2.0779,2.0896,2.0715,2.0887,4652060.3,1668650.4
1765360800000,2.0887,2.0983,2.0669,2.0696,8773156.9,3431589.2
1765364400000,2.0696,2.0752,2.0637,2.0717,3789185.5,1334590.0
1765368000000,2.0717,2.0726,2.059,2.0643,4344172.7,1892953.2
1765371600000,2.0643,2.0696,2.06,2.0648,4678445.5,2132110.0
1765375200000,2.0647,2.0687,2.0581,2.0639,5356757.5,2678406.0
1765378800000,2.0639,2.0735,2.0559,2.0618,4083033.1,1626099.3
1765382400000,2.0619,2.0743,2.0571,2.0685,4150507.7,1797003.5
1765386000000,2.0684,2.0755,2.0601,2.0616,3328206.3,1322128.4
1765389600000,2.0616,2.0862,2.0587,2.0683,5585016.4,2225288.4
1765393200000,2.0684,2.0878,2.0376,2.0681,20837397.2,9142088.6
1765396800000,2.0682,2.1108,2.0579,2.0638,17636822.4,7955329.7
1765400400000,2.0637,2.0689,2.0445,2.0472,5553292.2,2887438.2
1765404000000,2.0473,2.0584,2.0346,2.0549,4707947.1,2309838.6
