open_time,open,high,low,close,volume,taker_buy_volume
1764847800000,363.53,369.2,363.19,368.99,7473.07,4351.756
1764848700000,369.04,369.21,366.13,368.83,5509.629,3068.529
1764849600000,368.86,369.53,363.6,364.83,11122.275,4128.092
1764850500000,364.79,365.78,360.06,360.33,8270.015,3921.18
1764851400000,360.32,364.84,359.66,363.78,7661.413,3814.846
1764852300000,363.73,366.27,362.81,364.57,5816.115,2860.304
1764853200000,364.51,366.09,360.33,362.31,6948.734,3449.173
1764854100000,362.37,363.19,360.73,361.24,5044.07,3058.299
1764855000000,361.27,361.43,351.0,353.59,17356.094,6874.037
1764855900000,353.46,356.46,350.4,353.98,9791.372,6079.343
1764856800000,354.06,355.66,351.03,353.57,7713.945,2861.743
1764857700000,353.52,356.71,352.86,355.63,4921.404,2591.354
1764858600000,355.6,355.6,352.93,354.48,4807.45,2615.857
1764859500000,354.42,355.07,346.34,347.33,13684.37,6395.55
1764860400000,347.32,352.86,347.32,351.83,6830.165,3915.886
1764861300000,351.83,352.08,346.52,349.6,6508.296,2982.084
1764862200000,349.6,357.0,349.1,354.59,8833.606,5114.109
1764863100000,354.55,354.55,350.97,353.17,3676.568,1976.459
1764864000000,353.18,356.0,349.76,354.22,4738.156,2669.909
1764864900000,354.23,361.52,354.0,359.06,12864.546,6437.019
1764865800000,359.02,360.47,357.27,359.4,7189.999,3102.007
1764866700000,359.46,360.29,354.8,356.76,6488.692,3015.575
1764867600000,356.76,358.72,356.04,357.93,2569.468,1416.92
1764868500000,357.92,362.9,357.92,360.48,5411.048,2888.8
1764869400000,360.46,363.08,358.61,362.89,8473.137,3696.615
1764870300000,362.85,364.49,361.5,362.58,3713.338,2143.86
1764871200000,362.64,363.64,360.01,362.96,4181.801,1662.438
1764872100000,362.98,363.3,360.5,362.75,3742.899,2270.876
1764873000000,362.62,363.0,357.74,359.04,5525.452,2119.5
1764873900000,359.14,362.48,358.84,361.29,2577.4,1473.161
1764874800000,361.45,362.45,353.48,354.12,9169.458,4168.809
1764875700000,354.24,355.87,346.66,349.56,16803.268,8109.173
1764876600000,349.53,356.93,347.79,353.9,11965.896,6166.753
1764877500000,353.9,355.63,352.53,353.63,7036.619,3460.412
1764878400000,353.63,355.0,349.42,352.19,4935.066,2700.821
1764879300000,352.18,359.0,351.07,356.43,7911.082,4772.812
1764880200000,356.38,361.98,355.61,361.8,5681.737,2811.837
1764881100000,361.87,367.95,361.39,364.02,13302.964,7479.101
1764882000000,364.06,367.04,363.06,364.98,5901.552,3265.201
