open_time,open,high,low,close,volume,taker_buy_volume
1747008000000,45.18,45.86,41.57,44.46,66622.068,31442.112
1747094400000,44.44,44.45,41.62,43.52,51626.455,24272.996
1747180800000,43.5,43.81,40.48,42.0,56484.686,27514.224
1747267200000,42.01,42.88,39.77,41.8,82848.507,40932.354
1747353600000,41.79,42.28,40.24,40.36,27426.828,13106.114
1747440000000,40.37,41.72,39.67,40.48,48887.74,25971.228
1747526400000,40.47,42.27,39.59,41.41,41014.103,17233.751
1747612800000,41.42,41.47,38.99,40.68,45825.143,23594.644
1747699200000,40.75,41.22,39.32,41.18,35752.327,20238.703
1747785600000,41.18,43.6,40.77,42.96,48643.176,23790.526
1747872000000,42.89,51.0,42.83,48.97,121668.05,64430.158
1747958400000,48.98,50.65,46.57,46.91,76430.054,38847.896
1748044800000,46.92,49.75,46.42,49.49,36860.305,21541.486
1748131200000,49.52,55.0,46.8,54.58,149164.044,86541.425
1748217600000,54.63,56.79,50.41,54.33,140640.015,70718.627
1748304000000,54.33,56.17,50.79,51.89,118410.313,63195.862
1748390400000,51.88,54.94,50.07,53.28,90064.665,47593.399
1748476800000,53.29,56.0,52.94,53.2,83984.613,42484.511
1748563200000,53.24,53.96,47.38,47.43,67548.283,32050.988
1748649600000,47.39,51.1,45.0,50.18,75305.111,41427.95
1748736000000,50.18,53.5,49.05,53.1,85760.362,46917.803
1748822400000,53.13,54.44,52.15,54.0,65656.634,29195.302
1748908800000,54.06,56.14,52.34,54.39,79126.952,39632.495
1748995200000,54.4,54.58,49.85,50.32,43049.114,16982.891
1749081600000,50.21,51.09,47.43,47.57,76988.44,35825.997
1749168000000,47.51,50.06,46.07,48.17,37949.42,19895.305
1749254400000,48.04,50.88,47.29,50.24,31315.244,18449.987
1749340800000,50.24,50.98,48.65,48.73,33634.542,18237.395
1749427200000,48.72,52.5,48.41,51.62,43435.476,21685.142
1749513600000,51.59,53.31,49.9,51.9,43912.109,19590.859
1749600000000,51.85,51.91,49.0,50.06,53553.681,21761.557
1749686400000,50.02,52.16,47.58,48.0,62672.124,31289.275
